cal_sbid,sbid,field
85705,85706,VAST_0102+00
85705,85707,VAST_0152-31
85705,85708,VAST_0213-43
85705,85709,VAST_0227-50
85739,85740,VAST_0331+06
85739,85741,VAST_0600-06
85739,85742,VAST_0354-43
85754,85755,VAST_G220+00
85754,85756,VAST_G240+00
85754,85757,VAST_G246+00
85754,85758,VAST_G253+00
85754,85759,VAST_G259+00
85754,85760,VAST_G266+00
85754,85761,VAST_G272+00
85754,85762,VAST_G279+00
85754,85763,VAST_G285+00
85754,85764,VAST_G292+00
85754,85765,VAST_G298+00
85754,85766,VAST_G305+00
85754,85767,VAST_G311+00
85754,85768,VAST_G318+00
85754,85769,VAST_G292+00
85754,85770,VAST_G298+00
