sbid,field,cal_sbid
10338,VAST_1724-31A,10339
10338,VAST_2131-62A,10339
10323,VAST_0354-43A,10334
10323,VAST_0501-43A,10334
10338,VAST_2007-56A,10339
10323,VAST_2257+00A,10334
10323,VAST_0355+00A,10334
10338,VAST_2220-62A,10339
10323,VAST_0012-06A,10334
10323,VAST_0037-06A,10334
10323,VAST_0102-06A,10334
10323,VAST_0151-06A,10334
10323,VAST_0216-06A,10334
10323,VAST_0241-06A,10334
10323,VAST_0331+00A,10334
10337,VAST_0408-62A,10334
10323,VAST_0427-43A,10334
10338,VAST_1752-31A,10339
10323,VAST_0455-50A,10334
10337,VAST_0547-62A,10334
10337,VAST_1302+00A,10334
10337,VAST_1326+00A,10334
10337,VAST_1351+00A,10334
10337,VAST_1416+00A,10334
10337,VAST_1441+00A,10334
10338,VAST_2041-62A,10339
10338,VAST_2055-50A,10339
10338,VAST_2131-56A,10339
10323,VAST_2322+00A,10334
10323,VAST_2347+00A,10334
10338,VAST_2018-50A,10339
10323,VAST_0012+00A,10334
10323,VAST_0037+00A,10334
10323,VAST_0102+00A,10334
10323,VAST_0126-06A,10334
10323,VAST_0151+00A,10334
10323,VAST_0216+00A,10334
10323,VAST_0241+00A,10334
10323,VAST_0306-06A,10334
10323,VAST_0320-43A,10334
10323,VAST_0341-50A,10334
10323,VAST_0355-06A,10334
10337,VAST_1237-06A,10334
10337,VAST_1302-06A,10334
10337,VAST_1326-06A,10334
10380,VAST_1351-06A,10379
10338,VAST_2049-56A,10339
10323,VAST_0126+00A,10334
10323,VAST_0306+00A,10334
10323,VAST_0331-06A,10334
10342,VAST_0534-43A,10339
10342,VAST_2053-06A,10339
10342,VAST_2143+00A,10339
10343,VAST_2214-56A,10339
10343,VAST_0310-56A,10339
10342,VAST_2146-43A,10339
10342,VAST_2143-06A,10339
10342,VAST_2219-43A,10339
10342,VAST_2257-06A,10339
10342,VAST_2208+00A,10339
10342,VAST_2233+00A,10339
10343,VAST_2246-50A,10339
10342,VAST_2322-06A,10339
10342,VAST_2347-06A,10339
10342,VAST_1739-25A,10339
10342,VAST_0304-50A,10339
10343,VAST_0352-56A,10339
10343,VAST_0517-56A,10339
10343,VAST_0532-50A,10339
10344,VAST_0918-06A,10339
10344,VAST_0943-06A,10339
10344,VAST_1008-06A,10339
10344,VAST_1057-06A,10339
10344,VAST_1122-06A,10339
10342,VAST_1806-25A,10339
10344,VAST_1147-06A,10339
10342,VAST_1753-18A,10339
10342,VAST_2004-06A,10339
10342,VAST_2004+00A,10339
10342,VAST_2028+00A,10339
10342,VAST_2118+00A,10339
10342,VAST_2208-06A,10339
10342,VAST_2233-06A,10339
10342,VAST_2253-43A,10339
10342,VAST_2039-43A,10339
10342,VAST_0418-50A,10339
10343,VAST_0559-56A,10339
10344,VAST_0918+00A,10339
10344,VAST_0943+00A,10339
10344,VAST_1008+00A,10339
10344,VAST_1033+00A,10339
10342,VAST_2053+00A,10339
10344,VAST_1057+00A,10339
10344,VAST_1122+00A,10339
10344,VAST_1147+00A,10339
10342,VAST_2112-43A,10339
10342,VAST_2005-43A,10339
10342,VAST_2028-06A,10339
10342,VAST_2118-06A,10339
10343,VAST_2132-50A,10339
10343,VAST_2209-50A,10339
10343,VAST_2256-56A,10339
10380,VAST_1033-06A,10379
10380,VAST_1212+00A,10379
10380,VAST_1237+00A,10379
10380,VAST_0435-56A,10379
10380,VAST_0457-62A,10379
10380,VAST_1212-06A,10379
