sbid,field,cal_sbid
11212,VAST_0547-62A,11286
11215,VAST_0918+00A,11286
11218,VAST_1008+00A,11286
11221,VAST_1033-06A,11286
11222,VAST_1057+00A,11286
11223,VAST_0943-06A,11286
11248,VAST_1724-31A,11286
11250,VAST_2004+00A,11286
11251,VAST_2004-06A,11286
11252,VAST_2028+00A,11286
11253,VAST_2028-06A,11286
11254,VAST_2053+00A,11286
11255,VAST_2053-06A,11286
11256,VAST_2118+00A,11286
11257,VAST_2118-06A,11286
11258,VAST_2143+00A,11286
11259,VAST_2143-06A,11286
11260,VAST_2208+00A,11286
11261,VAST_2208-06A,11286
11262,VAST_2233+00A,11286
11263,VAST_2233-06A,11286
11264,VAST_2257+00A,11286
11265,VAST_2322+00A,11286
11266,VAST_2257-06A,11286
11267,VAST_2347+00A,11286
11268,VAST_2322-06A,11286
11269,VAST_0012+00A,11286
11270,VAST_2347-06A,11286
11271,VAST_0037+00A,11286
11272,VAST_0037-06A,11286
11273,VAST_0102+00A,11286
11274,VAST_0102-06A,11286
11275,VAST_0126+00A,11286
11276,VAST_0012-06A,11286
11277,VAST_0151+00A,11286
11278,VAST_0151-06A,11286
11279,VAST_0126-06A,11286
11280,VAST_0216-06A,11286
11281,VAST_0127-73A,11286
11195,VAST_0241-06A,11286
11196,VAST_0331+00A,11286
11197,VAST_0241+00A,11286
11198,VAST_0216+00A,11286
11199,VAST_0306+00A,11286
11200,VAST_0355+00A,11286
11201,VAST_0306-06A,11286
11202,VAST_0355-06A,11286
11203,VAST_0331-06A,11286
11204,VAST_0427-43A,11286
11205,VAST_0501-43A,11286
11207,VAST_0455-50A,11286
