EPOCH,OBS_FREQ,FOOTPRINT,PITCH,ROTATION,DURATION,POL_MODE,DATABASE,PRODUCT_ROOT
1,864.5,square_6x6,1.05,45.0,720.0,pa_fixed,epoch_1,/askapbuffer/payne/len067/vast1
2,864.5,square_6x6,1.05,45.0,720.0,pa_fixed,epoch_2,/askapbuffer/payne/len067/vast2
3,864.5,square_6x6,1.05,45.0,720.0,pa_fixed,epoch_3,/askapbuffer/payne/len067/vast3x
4,864.5,square_6x6,1.05,45.0,720.0,pa_fixed,epoch_4,/askapbuffer/payne/len067/vast4x
5,864.5,square_6x6,1.05,45.0,720.0,pa_fixed,epoch_5,/askapbuffer/payne/len067/vast5x
6,864.5,square_6x6,1.05,45.0,720.0,pa_fixed,epoch_6,/askapbuffer/payne/len067/vast6x
7,864.5,square_6x6,1.05,45.0,720.0,pa_fixed,epoch_7,/askapbuffer/payne/len067/vast7x
8,864.5,square_6x6,1.05,45.0,720.0,pa_fixed,epoch_8,/askapbuffer/payne/len067/vast8
9,864.5,square_6x6,1.05,45.0,720.0,pa_fixed,epoch_9,/askapbuffer/payne/len067/vast9
12,864.5,square_6x6,1.05,45.0,720.0,pa_fixed,epoch_12,/askapbuffer/payne/len067/vast12
13,864.5,square_6x6,1.05,45.0,720.0,pa_fixed,epoch_13,/askapbuffer/payne/len067/vast13
15,864.5,square_6x6,1.05,45.0,720.0,pa_fixed,epoch_15,/askapbuffer/payne/len067/vast15x
16,1272.5,closepack36,0.9,45.0,720.0,pa_fixed,epoch_16,/askapbuffer/payne/len067/vast16x
17,864.5,square_6x6,1.05,45.0,720.0,pa_fixed,epoch_17,/askapbuffer/payne/len067/vast17
18,1272.5,closepack36,0.9,45.0,720.0,pa_fixed,epoch_18,/askapbuffer/payne/len067/vast18
19,864.5,square_6x6,1.05,45.0,720.0,pa_fixed,epoch_19,/askapbuffer/payne/len067/vast19
20,1272.5,closepack36,0.9,45.0,720.0,pa_fixed,epoch_20,/askapbuffer/payne/len067/vast20
21,1272.5,closepack36,0.9,45.0,720.0,pa_fixed,epoch_21,/askapbuffer/payne/len067/vast21
22,864.5,square_6x6,1.05,45.0,900.0,pa_fixed,epoch_22,/askapbuffer/payne/len067/vast_22
23,864.5,square_6x6,1.05,45.0,900.0,pa_fixed,epoch_23,/askapbuffer/payne/askapops/science-processing/
24,864.5,square_6x6,1.05,45.0,900.0,pa_fixed,epoch_24,/askapbuffer/payne/askapops/science-processing/
25,864.5,square_6x6,1.05,45.0,900.0,pa_fixed,epoch_25,/askapbuffer/payne/askapops/science-processing/
26,864.5,square_6x6,1.05,45.0,900.0,pa_fixed,epoch_26,/askapbuffer/payne/askapops/science-processing/
27,864.5,square_6x6,1.05,45.0,900.0,pa_fixed,epoch_27,/askapbuffer/payne/askapops/science-processing
30,864.5,square_6x6,1.05,45.0,900.0,pa_fixed,epoch_30,/askapbuffer/payne/askapops/science-processing
31,864.5,square_6x6,1.05,45.0,900.0,pa_fixed,epoch_31,/askapbuffer/payne/askapops/science-processing
32,864.5,square_6x6,1.05,45.0,900.0,pa_fixed,epoch_32,/askapbuffer/payne/askapops/science-processing
33,864.5,square_6x6,1.05,45.0,900.0,pa_fixed,epoch_33,/askapbuffer/payne/askapops/science-processing
34,864.5,square_6x6,1.05,45.0,900.0,pa_fixed,epoch_34,/askapbuffer/payne/askapops/science-processing
35,864.5,square_6x6,1.05,45.0,900.0,pa_fixed,epoch_35,/askapbuffer/payne/askapops/science-processing
36,864.5,square_6x6,1.05,45.0,900.0,pa_fixed,epoch_36,/askapbuffer/payne/askapops/science-processing
37,864.5,square_6x6,1.05,45.0,900.0,pa_fixed,epoch_37,/askapbuffer/payne/len067/science-processing
38,864.5,square_6x6,1.05,45.0,900.0,pa_fixed,epoch_38,/askapbuffer/payne/len067/science-processing
