INDEX,SRC,FIELD_NAME,SBID,SCAN,CAL_SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,POL_AXIS,SCAN_START,SCAN_LEN,SCAN_TINT,NBEAMS_I,MOSAIC_TIME,NPIXELS_V,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,MINIMUM,MAXIMUM,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,SELAVY_TIME,NUM_SELAVY
0,1,VAST_0241-06A,11107,0,11106,IMAGED,02 41 23,-06 17 59,40.34583333333333,-6.299722222222222,179.3649414628907,-56.59441545526996,-45.0,5085372707.537278,716.636159447937,716.6361600000001,36,5087901605.202,136542750,13.61421771138558,10.945305770444316,69.691986015482,-0.016925539821386337,1.5792574882507324,261.716552734375,249.97999028988704,76.44200106403062,179.49313354492188,1080.5423583984375,5087921091.0,5847
1,2,VAST_0331+00A,11108,0,11106,IMAGED,03 31 02,+00 00 00,52.758333333333326,0.0,184.32508155784922,-43.06120591492183,-45.0,5085373473.939838,726.5894398968505,726.5894400000001,36,5087901713.829,136524138,14.420761621187618,11.29336199482626,74.4809806152765,-0.015829335898160934,2.6286861896514893,281.982421875,269.3823221132889,72.80651051683571,191.60287475585938,947.3619995117188,5087921448.0,5718
2,3,VAST_0241+00A,11109,0,11106,IMAGED,02 41 23,+00 00 00,40.34583333333333,0.0,171.69910054508293,-52.141321561673365,-45.0,5085374250.295678,726.5894398968505,726.5894400000001,36,5087901731.764,136549273,14.7594960456615,11.16692925500034,72.5286168430429,-0.033365439623594284,5.022861957550049,298.4168701171875,282.8057663331982,97.21082958297985,194.93878173828125,1642.48681640625,5087909571.0,5286
3,4,VAST_0216+00A,11110,0,11106,IMAGED,02 16 33,+00 00 00,34.137499999999996,0.0,163.43155547577857,-56.02874621564675,-45.0,5085375016.698238,726.5894398968505,716.6361600000001,36,5087901783.419,136493176,16.432555589131642,10.853503307894087,74.9833190193343,-0.02047603204846382,3.267737865447998,314.4871826171875,303.7893390751716,78.59450515910854,199.2914581298828,1226.224853515625,5087921186.0,5467
4,5,VAST_0306+00A,11111,0,11106,IMAGED,03 06 12,+00 00 00,46.55,0.0,178.5612040139545,-47.774956090895046,-45.0,5085375783.100799,726.5894398968505,726.5894400000001,36,5087901878.638,136553299,14.777902367768807,11.170253094520609,72.6089370277142,-0.015292787924408913,1.81614351272583,266.1651611328125,253.29139300824798,76.5273204310441,173.7008056640625,752.8536987304688,5087909724.0,5631
5,6,VAST_0355+00A,11112,0,11106,IMAGED,03 55 52,+00 00 00,58.96666666666666,0.0,189.2452074764945,-38.10021940902833,-45.0,5085376559.456638,726.5894398968505,726.5894400000001,36,5087901954.471001,136601380,13.973706689271301,12.061663883447617,51.2211314360826,-0.027105487883090973,2.477922201156616,299.28955078125,285.9334360337832,81.73566926479005,197.27088928222656,1007.3576049804688,5087921339.0,5321
6,7,VAST_0306-06A,11113,0,11106,IMAGED,03 06 12,-06 17 59,46.55,-6.299722222222222,186.0541578500902,-51.82013854429893,-45.0,5085377385.578878,726.5894398968505,726.5894400000001,36,5087902003.899,136552960,14.285880997050349,10.973234198108303,74.5068427560657,-0.01676987111568451,0.9166454076766968,247.40711975097656,236.42888602884588,68.06671381230004,173.16610717773438,617.1048583984375,5087921393.0,5984
7,8,VAST_0355-06A,11114,0,11106,IMAGED,03 55 52,-06 17 59,58.96666666666666,-6.299722222222222,196.10904240738196,-41.55569485564667,-45.0,5085378151.981439,726.5894389431762,726.5894400000001,36,5087902059.774,136538785,13.68413765016138,10.954912170802139,70.6207314015996,-0.015277140773832798,4.209797382354736,258.835693359375,247.90105856866242,69.20429887037686,175.50315856933594,888.837646484375,5087910188.0,5714
8,9,VAST_0331-06A,11115,0,11106,IMAGED,03 31 02,-06 17 59,52.758333333333326,-6.299722222222222,191.51689344475847,-46.776779381912455,-45.0,5085378928.337278,716.636159447937,716.6361600000001,36,5087902137.214,136536093,14.310542234161547,10.965087285140772,74.6223865540831,-0.012073799967765808,2.561415672302246,254.99868774414062,243.13662278882123,67.40621248319744,181.8863067626953,738.8508911132812,5087921936.0,5912
9,10,VAST_0427-43A,11116,0,11106,IMAGED,04 27 54,-43 52 21,66.975,-43.8725,248.91854498051705,-43.795388529299466,-45.0,5085379993.338238,736.5427203457641,736.5427200000001,36,5087902181.195,136534402,12.868673681946817,10.904074002557568,57.1874025715967,-0.014159209094941616,5.239377021789551,244.46640014648438,231.96446564436923,76.26366765092855,154.56536865234375,1476.6910400390625,5087910652.0,6096
10,11,VAST_0501-43A,11117,0,11106,IMAGED,05 01 24,-43 52 21,75.35,-43.8725,248.958126801526,-37.76064480172544,-45.0,5085380899.086719,726.5894398968505,726.5894400000001,36,5087902223.299,136480093,12.731770068685632,11.032939192159619,55.9868105428508,-0.06158364564180374,10.923885345458984,250.4680938720703,233.13281279961356,310.6334381215894,162.1142578125,16149.826171875,5087921531.0,6047
11,12,VAST_0534-43A,11118,0,11106,IMAGED,05 34 53,-43 52 21,83.72083333333332,-43.8725,249.70815106710245,-31.760310943930605,-45.0,5085381665.489278,726.5894408505249,726.5894400000001,36,5087902267.527,136512814,12.552696706485024,11.15754560490438,55.9105426219738,-0.0802520141005516,12.017772674560547,257.2258605957031,236.72630866371475,237.57874277717113,174.03085327148438,9466.53515625,5087910787.0,5854
12,13,VAST_0455-50A,11119,0,11106,IMAGED,04 55 23,-50 05 45,73.84583333333333,-50.09583333333334,256.88433162678183,-38.8075084954334,-45.0,5085382431.891838,726.5894408505249,726.5894400000001,36,5087902300.183001,136532162,13.226351020203923,11.059497404953884,50.2231167949654,-0.045936986804008484,3.4381163120269775,238.63104248046875,225.89571324567555,74.60366438565292,160.6027069091797,942.20361328125,5087921639.0,6344
13,14,VAST_0532-50A,11120,0,11106,IMAGED,05 32 18,-50 05 45,83.07499999999999,-50.09583333333334,256.97056430788524,-32.89112994875697,-45.0,5085383208.247678,726.5894408505249,726.5894400000001,36,5087902335.779,136494564,12.977942345999857,11.245959521296452,46.1569809040023,-0.04302966594696045,1.4333949089050293,243.4000701904297,229.38212409188685,73.6388251129505,164.83448791503906,884.2538452148438,5087921616.0,6019
14,15,VAST_0435-56A,11121,0,11106,IMAGED,04 35 18,-56 18 23,68.82499999999999,-56.30638888888888,265.421899721774,-40.97412369341874,-45.0,5085383984.6035185,726.5894398968505,726.5894400000001,36,5087902374.023,136533995,14.346886239433692,10.978525483086816,51.6169793264976,-0.011142203584313393,1.7335704565048218,243.033203125,230.53596149097714,75.50195592874934,162.7931671142578,1167.3795166015625,5087911048.0,6394
15,16,VAST_0517-56A,11122,0,11106,IMAGED,05 17 39,-56 18 23,79.4125,-56.30638888888888,264.43195492054394,-35.15834363308794,-45.0,5085384760.959358,726.5894398968505,726.5894400000001,36,5087902406.317,136495371,13.902554989102248,11.1403581646725,44.5265090681398,-0.008706482127308846,2.5692965984344482,238.06259155273438,226.41233693153293,66.8659227832029,165.982421875,745.3405151367188,5087921717.0,6097
16,17,VAST_0559-56A,11123,0,11106,IMAGED,06 00 00,-56 18 23,89.99999999999999,-56.30638888888888,264.6061253750871,-29.29254627481725,-45.0,5085385537.315198,716.6361604016113,716.6361600000001,36,5087902461.775001,136549623,13.531278001450932,11.335138968241585,36.820769214704,-0.031842924654483795,1.26547110080719,234.79742431640625,223.81981183501398,70.53914375285932,162.223876953125,765.1552734375,5087921772.0,6419
17,18,VAST_0547-62A,11124,0,11106,IMAGED,05 47 35,-62 29 55,86.89583333333331,-62.49861111111111,271.6778160194992,-31.16373059586087,-45.0,5085386293.764479,726.5894389431762,726.5894400000001,36,5087902501.335,136527848,14.62304493692953,11.301272489604708,35.0198915932333,-0.009409148246049881,1.6356059312820435,239.7722930908203,227.31344435558367,69.58365242939347,163.64993286132812,709.3162231445312,5087911354.0,6395
18,19,VAST_0530-68A,11125,0,11106,IMAGED,05 30 00,-68 40 17,82.49999999999999,-68.6713888888889,279.0824205091052,-32.50496317671834,-45.0,5085387060.167038,726.5894398968505,726.5894400000001,36,5087902719.8689995,136502256,16.21296242927543,11.249835918251076,37.2830937999192,-0.019932718947529793,2.3627185821533203,263.24945068359375,250.0352457596491,161.98473828955224,182.70184326171875,8788.7763671875,5087911516.0,6314
19,20,VAST_0918+00A,11127,0,11106,IMAGED,09 18 37,+00 00 00,139.65416666666667,0.0,231.76405031999863,32.212291300866404,-45.0,5085394166.808958,726.5894398968505,726.5894400000001,36,5087902726.594,136548758,14.305229927896212,11.136220933966165,76.0982610698843,-0.012832922860980034,1.2893868684768677,283.16412353515625,271.1856652168083,77.06063668604415,188.22959899902344,735.2903442382812,5087921565.0,5538
20,21,VAST_0943+00A,11128,0,11106,IMAGED,09 43 27,+00 00 00,145.86249999999998,0.0,235.96987635642589,37.373239429749965,-45.0,5085394933.211518,726.5894398968505,726.5894400000001,36,5087902815.198999,136517337,14.49835597421118,11.222696737593793,77.8967861053005,-0.020941033959388733,4.671059608459473,333.67120361328125,318.3700309643114,112.11881125692629,204.10214233398438,1998.5848388671875,5087911030.0,4936
21,22,VAST_0918-06A,11129,0,11106,IMAGED,09 18 37,-06 17 59,139.65416666666667,-6.299722222222222,237.81129211498285,28.67260458700131,-45.0,5085395719.520638,726.5894398968505,726.5894400000001,36,5087902972.409,136494570,13.450601916564407,10.803262689955188,70.4357339547888,-0.015772726386785507,1.3916785717010498,260.1297912597656,248.0088219209799,71.50356404542063,181.96522521972656,1165.138916015625,5087911092.0,5723
22,23,VAST_1008+00A,11130,0,11106,IMAGED,10 08 17,+00 00 00,152.0708333333333,0.0,240.78721453997224,42.36349901223628,-45.0,5085396485.923198,726.5894408505249,726.5894400000001,36,5087903065.990999,136507378,14.480937089758584,11.22326017328934,77.7749376947394,-0.06291218847036362,4.959860324859619,294.6777648925781,281.8170105972244,86.69976820075686,194.7591552734375,1008.1268310546875,5087911031.0,5360
23,24,VAST_1008-06A,11131,0,11106,IMAGED,10 08 17,-06 17 59,152.0708333333333,-6.299722222222222,247.10345037843013,38.296273908553715,-45.0,5085397262.279038,726.5894398968505,726.5894400000001,36,5087903141.774,136492153,13.53925542238074,10.834186266143208,71.4399544615032,-0.008881787769496441,0.952854335308075,264.438232421875,254.25688134921316,67.72141802146218,181.19857788085938,638.3602905273438,5087911435.0,5893
24,25,VAST_1033+00A,11132,0,11106,IMAGED,10 33 06,+00 00 00,158.275,0.0,246.41135669256676,47.11477651205657,-45.0,5085398028.681598,726.5894408505249,726.5894400000001,36,5087903216.018,136532043,14.470839158430493,11.23183549784142,77.4619808918024,-0.020274946466088295,3.9696123600006104,313.4559326171875,298.36315326743124,96.6648769607461,198.92984008789062,1086.226318359375,5087911043.0,5064
