Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB78000_component_3a,155.141985,3.847441,1171.719970703125,414.328125,155.14198,3.84767,3537.8,1.3732583127103855,0.33120017262228646
SB78000_component_6a,155.499055,-1.167512,779.3280029296875,657.1062622070312,155.49896,-1.16746,2487.6,1.2989768631042435,0.31328509524428666
SB78000_component_8a,148.326059,-0.868977,769.7990112304688,430.2956848144531,148.32591,-0.86884,3749.5,0.851266755300384,0.2053071106095396
SB78000_component_11a,156.123243,-0.88227,703.7440185546875,456.3839111328125,156.12337,-0.88247,420.9,6.932621233477392,1.6719981433943634
SB78000_component_14a,151.768182,-2.119762,602.4730224609375,1130.3433837890625,151.76802,-2.11967,827.4,3.019143603401718,0.7281520696893129
SB78000_component_15a,153.891838,3.313658,586.6510009765625,742.59619140625,153.89166,3.31418,1363.2,1.7843577059071447,0.4303484455520558
SB78000_component_17a,150.81198,1.356036,491.7959899902344,1581.337646484375,150.81203,1.35631,1085.9,1.8778324181410455,0.45289252232271326
SB78000_component_34a,148.698254,2.329438,330.5880126953125,558.4257202148438,148.69843,2.32931,1196.9,1.1452252555701594,0.27620353638174655
SB78000_component_35a,152.815226,1.111584,310.8080139160156,1138.4908447265625,152.8149,1.11168,257.6,5.002741141611168,1.2065528490528556
SB78000_component_36a,149.287504,2.922041,285.0050048828125,708.9676513671875,149.28757,2.92194,917.1,1.288538725462765,0.3107676424411869
SB78000_component_38a,155.632917,1.247247,278.9289855957031,470.3692932128906,155.6329,1.24738,464.2,2.491438626965129,0.6008810547085376
SB78000_component_39a,154.296505,1.282708,259.43701171875,726.71435546875,154.2964,1.28293,713.8,1.507013253877811,0.36345896850483334
SB78000_component_40a,155.158718,-1.124762,277.9540100097656,537.6286010742188,155.15862,-1.12477,1300.4,0.8862528917449426,0.21374500923543957
SB78000_component_41a,148.606816,-0.928933,255.2570037841797,368.8685302734375,148.60634,-0.92899,666.6,1.5877204551304438,0.3829237980560751
SB78000_component_42a,152.599197,-3.991917,244.9010009765625,255.10520935058594,152.59866,-3.99213,798.8,1.2712008838113804,0.30658613041632765
SB78000_component_43a,149.947467,-0.761151,217.44900512695312,635.8157958984375,149.94748,-0.76119,309.5,2.913120529479849,0.7025815997639843
SB78000_component_47a,155.576155,0.513924,211.9739990234375,471.0533447265625,155.57616,0.51395,357.4,2.4591766532274706,0.5931001651467194
SB78000_component_48a,155.943388,-0.69014,227.5919952392578,222.91085815429688,155.94345,-0.69025,824.3,1.1448098711435462,0.276103354651532
SB78000_component_50a,149.36277,3.165911,223.47500610351562,478.533203125,149.3632,3.16589,829.6,1.1169195600036579,0.2693768154574682
SB78000_component_57a,148.471413,-1.392619,183.6219940185547,199.37242126464844,148.47171,-1.39235,468.1,1.626476303216757,0.39227086951197326
