Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB81433_component_2a,306.530721,-48.334355,1502.5760498046875,2280.085205078125,306.5306546359385,-48.33424624649391,1398.2601491708529,1.0232686001170992,1.074604071850072
SB81433_component_12a,299.881997,-48.578666,547.2109985351562,574.8014526367188,299.8819148626705,-48.578664513129574,483.2606267911949,1.0782378442585132,1.1323310201548713
SB81433_component_26a,298.872632,-49.772543,322.3070068359375,330.5712890625,298.87191741631983,-49.77251279013038,310.6524165683423,0.9879527545815489,1.03751649639922
SB81433_component_28a,305.665369,-50.533485,311.875,1227.854248046875,305.6658510651535,-50.53363325216326,293.446534714799,1.0120285010681698,1.0628000780554852
SB81433_component_44a,302.927394,-52.587339,230.8350067138672,751.905517578125,302.92733305117133,-52.58757648672117,207.01818510086176,1.0617795102171887,1.1150470022785757
SB81433_component_54a,309.55496,-47.920521,199.0570068359375,320.5426940917969,309.55470168662134,-47.92009913730901,174.12341090237106,1.0885828030408566,1.1431949661699794
SB81433_component_59a,305.907278,-49.737625,193.00900268554688,906.1455688476562,305.907673392086,-49.73783742961471,179.79267992743723,1.0222255377716745,1.0735086810177346
SB81433_component_62a,307.233214,-54.184433,184.18499755859375,211.22132873535156,307.2330261603435,-54.18424457492129,169.20846499157904,1.0365096093766824,1.0885093577780522
SB81433_component_67a,307.542626,-47.439204,161.26300048828125,578.0035400390625,307.5424043588447,-47.43897718043699,148.80481891720083,1.0319505959490556,1.0837216271739996
SB81433_component_83a,306.689212,-46.655957,137.0500030517578,314.3348693847656,306.68938016304276,-46.6558556304102,134.03086763331285,0.9736780650750696,1.0225256724197656
SB81433_component_84a,307.604684,-49.655517,140.4290008544922,592.5274047851562,307.60514795870165,-49.655644708376464,131.06774327287846,1.0202395376185414,1.0714230469515593
SB81433_component_90a,306.678996,-52.006816,122.54100036621094,445.6036376953125,306.6796068863766,-52.00702624851992,111.34172280954235,1.0480081263711962,1.1005847338632053
SB81433_component_92a,304.675575,-49.43289,127.03700256347656,658.2227783203125,304.67596660723655,-49.43305245148234,120.30961201538979,1.0054745386748427,1.0559173156275012
SB81433_component_94a,301.167165,-51.929937,121.67400360107422,511.23529052734375,301.1665412324102,-51.92999252238754,106.05510313183824,1.092464651646044,1.1472715598590288
SB81433_component_100a,306.705961,-49.988097,115.7979965209961,567.6372680664062,306.706395030897,-49.988251223232744,105.93733824488518,1.040862002431577,1.0930801022517385
SB81433_component_105a,307.773717,-48.505685,114.69300079345703,367.60577392578125,307.7737045289106,-48.50545127703624,100.62629537345794,1.0853419696347355,1.1397915462135702
SB81433_component_107a,308.849657,-49.96869,113.21299743652344,512.2760009765625,308.85007381264245,-49.96875214969629,109.85179102462507,0.9813644299076709,1.0305976477993417
SB81433_component_111a,303.93702,-47.645841,108.06300354003906,478.1548767089844,303.93730050752544,-47.645793195599495,99.38133374420072,1.035412441603483,1.0873571471498285
SB81433_component_112a,303.655832,-50.467499,114.03199768066406,564.5148315429688,303.6562379198418,-50.467644856831086,105.2421653100599,1.031758661649724,1.0835200638898672
SB81433_component_113a,308.665744,-46.34406,119.04100036621094,125.8361587524414,308.66545980201556,-46.34373718301963,115.09994921499936,0.9848330204105219,1.034240251000024
SB81433_component_116a,304.62142,-46.644562,107.1719970703125,264.6222229003906,304.6217505612069,-46.6445110434854,102.44751266327893,0.9961415854232457,1.046116145567749
