Component_ID,RA,DEC,RA_comp,DEC_comp
SB83609_component_3a,356.653511,9.5127,356.653494,9.512643
SB83609_component_6a,357.132418,6.416478,357.132378,6.416606
SB83609_component_9a,353.553426,7.60762,353.553451,7.607653
SB83609_component_12a,352.981429,7.094966,352.981351,7.095026
SB83609_component_17a,357.54199,8.215403,357.541997,8.215354
SB83609_component_20a,353.240227,8.63633,353.239985,8.63623
SB83609_component_51a,359.620172,4.50696,359.620196,4.506899
SB83609_component_82a,354.873769,2.734825,354.873794,2.734822
SB83609_component_105a,0.112571,3.121093,0.112594,3.121013
SB83609_component_429a,357.73957,2.461235,357.739512,2.461223
