Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB83810_component_11a,157.799878,-33.658495,750.635009765625,631.84765625,157.79989624023438,-33.65850067138672,699.2361450195312,1.0222240686416626,1.0735071897506714
SB83810_component_18a,166.563147,-32.053367,417.12799072265625,739.588623046875,166.56309509277344,-32.05341339111328,396.19891357421875,1.0025296211242676,1.05282461643219
SB83810_component_26a,157.651487,-33.818368,309.3710021972656,231.91229248046875,157.65150451660156,-33.81837463378906,277.6749572753906,1.060923457145691,1.1141480207443237
SB83810_component_29a,161.124032,-30.249974,278.5989990234375,1092.545166015625,161.12400817871094,-30.24996566772461,245.02377319335938,1.082710862159729,1.137028455734253
SB83810_component_32a,162.297347,-29.45321,246.3470001220703,1145.7999267578125,162.29733276367188,-29.45318603515625,231.39137268066406,1.0137742757797241,1.0646334886550903
SB83810_component_35a,164.008476,-27.681884,246.1699981689453,355.73699951171875,164.00845336914062,-27.681867599487305,231.00526428222656,1.0147391557693481,1.0656466484069824
SB83810_component_46a,164.418271,-30.910396,200.468994140625,977.8975219726562,164.4182891845703,-30.910411834716797,168.45606994628906,1.1331872940063477,1.1900372505187988
SB83810_component_47a,167.077263,-33.219035,208.19900512695312,192.42051696777344,167.0772247314453,-33.21905517578125,200.76068115234375,0.9875091910362244,1.037050724029541
SB83810_component_49a,158.402793,-34.714336,196.2570037841797,205.28976440429688,158.40283203125,-34.71430206298828,179.66275024414062,1.0401794910430908,1.0923633575439453
SB83810_component_51a,159.999147,-28.882767,188.90199279785156,686.9163208007812,159.99913024902344,-28.882795333862305,168.08685302734375,1.0701483488082886,1.123835563659668
SB83810_component_52a,158.300927,-28.25039,206.46600341796875,187.86715698242188,158.30093383789062,-28.250415802001953,204.73985290527344,0.9602566957473755,1.0084309577941895
SB83810_component_54a,165.087613,-27.481126,200.81199645996094,186.80184936523438,165.0875701904297,-27.481157302856445,198.12864685058594,0.9651249647140503,1.0135434865951538
SB83810_component_56a,160.503959,-28.072713,192.4969940185547,530.2947387695312,160.50393676757812,-28.072769165039062,181.0684051513672,1.0123307704925537,1.063117504119873
SB83810_component_60a,165.401251,-32.664184,171.2270050048828,572.6655883789062,165.40127563476562,-32.6641960144043,150.9072265625,1.0804468393325806,1.1346508264541626
SB83810_component_63a,162.722498,-35.295848,170.72000122070312,213.1335906982422,162.72254943847656,-35.29582595825195,154.5297393798828,1.0519945621490479,1.1047711372375488
SB83810_component_65a,159.014782,-31.164843,145.58900451660156,564.2985229492188,159.01480102539062,-31.164836883544922,127.04837036132812,1.0911906957626343,1.1459336280822754
SB83810_component_66a,166.034949,-33.801846,150.05099487304688,407.74725341796875,166.03494262695312,-33.80183410644531,129.36993408203125,1.1044515371322632,1.1598598957061768
SB83810_component_67a,162.337643,-31.870178,146.70799255371094,726.2771606445312,162.337646484375,-31.87017822265625,144.63003540039062,0.9659095406532288,1.0143673419952393
SB83810_component_68a,160.694254,-28.34271,147.89100646972656,520.7429809570312,160.69424438476562,-28.342758178710938,142.1640625,0.9905880689620972,1.0402840375900269
SB83810_component_71a,159.016883,-30.403172,139.05999755859375,609.9122924804688,159.01690673828125,-30.403165817260742,128.2633056640625,1.0323833227157593,1.084175944328308
SB83810_component_80a,159.077161,-33.78311,123.88700103759766,453.79852294921875,159.0771484375,-33.78309631347656,109.0964584350586,1.0813250541687012,1.1355730295181274
SB83810_component_82a,164.419068,-28.560708,126.39900207519531,464.7021789550781,164.41908264160156,-28.560691833496094,115.41357421875,1.0428645610809326,1.0951831340789795
SB83810_component_84a,161.296529,-30.163112,126.11799621582031,663.7789306640625,161.2965087890625,-30.163103103637695,112.64484405517578,1.066122055053711,1.1196073293685913
