Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB83543_component_5a,82.102831,-33.185243,742.4600219726562,714.5909423828125,82.10293,-33.18543,906.2,3.397118513740965,0.8193114345317327
SB83543_component_9a,79.896844,-34.588291,523.97900390625,937.3505859375,79.89662,-34.58901,1069.2,2.031966843026627,0.49006640844205945
SB83543_component_11a,74.586726,-31.655544,496.8389892578125,1514.7529296875,74.58679,-31.65552,2190.7,0.9403606413314044,0.22679462694929134
SB83543_component_13a,75.577957,-32.333809,439.6210021972656,1455.69873046875,75.57793,-32.33392,1118.9,1.6291041134602124,0.39290464044799855
SB83543_component_18a,75.278973,-30.79377,397.3550109863281,1277.6689453125,75.27944,-30.79338,1675.6,0.983263741723155,0.23714192586913832
SB83543_component_27a,74.366195,-34.555426,347.0830078125,645.1357421875,74.36753,-34.55456,70.6,20.38404331300994,4.916189912358357
SB83543_component_31a,81.603114,-32.416806,263.9169921875,587.7883911132812,81.60336,-32.41691,1471.2,0.7438019607905795,0.17938892889308047
SB83543_component_34a,75.330562,-28.581982,253.82699584960938,712.9971923828125,75.33095,-28.5821,1076.1,0.9780180284158277,0.23587677339430294
SB83543_component_37a,80.206653,-34.540389,230.51600646972656,608.2216186523438,80.20692,-34.54062,1751.2,0.5457918178166249,0.131633169523599
SB83543_component_39a,79.681959,-29.324797,219.02099609375,799.3467407226562,79.68229,-29.3247,985.4,0.9215838892167045,0.22226608087451796
SB83543_component_45a,81.22768,-28.311498,224.81300354003906,329.1551818847656,81.22737,-28.31147,303.4,3.0723276796933643,0.7409789174028975
SB83543_component_53a,74.673824,-32.530041,195.947998046875,796.5365600585938,74.67374,-32.53013,639.3,1.2708602863486202,0.3065039856825825
SB83543_component_58a,80.464929,-30.222766,191.66700744628906,775.9797973632812,80.4655,-30.22243,1237.4,0.6422423391632263,0.1548949470230233
SB83543_component_59a,76.482718,-29.510683,184.8459930419922,793.3304443359375,76.48195,-29.51093,40.6,18.87755260862562,4.55285697147764
SB83543_component_60a,74.204166,-31.709782,191.78500366210938,612.7316284179688,74.20457,-31.71008,883.4,0.9001583872223315,0.21709871367682745
SB83543_component_61a,81.755225,-31.857475,190.75900268554688,408.4775085449219,81.75558,-31.85767,616.1,1.2837945171483334,0.3096234421125578
SB83543_component_62a,74.231148,-31.177184,179.375,636.08154296875,74.23128,-31.17702,798.8,0.9310768744284899,0.2245555833750626
SB83543_component_64a,80.715434,-29.609434,170.0240020751953,555.634033203125,80.7152,-29.60942,359.8,1.9593442992027044,0.47255142322177685
SB83543_component_70a,73.989733,-29.725136,161.82400512695312,386.2148132324219,73.98962,-29.72535,420.3,1.5964129343709388,0.38502023584809214
SB83543_component_71a,78.828682,-34.169623,173.0540008544922,636.2279052734375,78.82873,-34.16939,894.3,0.8023430510740792,0.19350777239683797
SB83543_component_73a,81.275795,-33.718216,159.9010009765625,454.26422119140625,81.27566,-33.71677,73.5,9.02039437515918,2.175523822810374
SB83543_component_74a,81.447586,-34.41962,165.5590057373047,274.55889892578125,81.44712,-34.41989,525.8,1.305551205011781,0.3148706841713669
