Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB84141_component_4a,180.634458,-2.667501,1237.9310302734375,654.6435546875,180.634346,-2.667445,1409.218,0.8784524681585372,0.8784524681585372
SB84141_component_9a,179.54989,-6.986255,747.4719848632812,908.2283935546875,179.549688,-6.986184,696.793,1.0727317651917876,1.0727317651917876
SB84141_component_20a,187.217643,-6.529588,455.89599609375,367.9548034667969,187.217339,-6.529502,503.993,0.9045681112510491,0.9045681112510491
SB84141_component_24a,181.782708,-9.521437,409.27099609375,863.44091796875,181.782503,-9.521304,404.76,1.0111448663251064,1.0111448663251064
SB84141_component_27a,183.80998,-6.467721,345.010009765625,1263.77294921875,183.809786,-6.467674,395.168,0.8730717309236198,0.8730717309236198
SB84141_component_32a,182.178538,-9.031809,334.54901123046875,1115.163330078125,182.178365,-9.031746,338.307,0.9888917794502293,0.9888917794502293
SB84141_component_33a,186.736695,-4.572844,318.74798583984375,582.7202758789062,186.736391,-4.572703,338.411,0.9418960549150109,0.9418960549150109
SB84141_component_38a,184.830387,-2.783712,298.7380065917969,515.9551391601562,184.830276,-2.783591,318.665,0.9374672668532686,0.9374672668532686
SB84141_component_39a,183.071914,-6.185316,270.1960144042969,997.0332641601562,183.071719,-6.18526,258.107,1.0468372202392684,1.0468372202392684
SB84141_component_41a,180.819009,-5.539523,259.9939880371094,945.4326782226562,180.818749,-5.539422,258.137,1.0071938080829534,1.0071938080829534
SB84141_component_43a,183.068208,-3.658973,260.31298828125,839.7192993164062,183.06798,-3.658838,278.963,0.9331452138141975,0.9331452138141975
SB84141_component_45a,180.681024,-8.966177,248.86399841308594,867.1219482421875,180.680809,-8.966062,247.238,1.006576652509266,1.006576652509266
SB84141_component_51a,180.284845,-6.919515,210.08999633789062,691.0855102539062,180.284553,-6.919399,203.555,1.03210432727219,1.03210432727219
SB84141_component_60a,181.413515,-7.852936,179.08999633789062,605.0337524414062,181.413295,-7.852884,175.039,1.0231433928318296,1.0231433928318296
SB84141_component_61a,180.500693,-8.083264,178.09300231933594,732.8930053710938,180.500411,-8.08315,176.711,1.0078206920867174,1.0078206920867174
SB84141_component_65a,181.069449,-7.16924,175.99000549316406,644.6520385742188,181.069187,-7.169168,186.136,0.9454914981151634,0.9454914981151634
SB84141_component_66a,179.414969,-4.712817,175.8719940185547,288.3147277832031,179.414847,-4.712939,178.044,0.9878007347540758,0.9878007347540758
SB84141_component_68a,185.292794,-7.97088,167.8470001220703,397.7417297363281,185.292499,-7.970774,160.815,1.043727265006811,1.043727265006811
SB84141_component_71a,186.818983,-4.759052,175.6300048828125,291.2603759765625,186.818678,-4.75893,189.96,0.924563091613037,0.924563091613037
SB84141_component_81a,184.561301,-4.836664,153.98699951171875,596.848876953125,184.561025,-4.836636,153.004,1.0064246654448168,1.0064246654448168
SB84141_component_82a,184.879809,-9.159479,150.6230010986328,221.1791534423828,184.879543,-9.15922,135.397,1.1124544938117744,1.1124544938117744
SB84141_component_85a,180.930484,-3.101374,143.4600067138672,284.6428527832031,180.930353,-3.101247,149.306,0.9608455568688946,0.9608455568688946
SB84141_component_86a,187.238339,-7.341268,149.1060028076172,115.58605194091797,187.238037,-7.34117,155.107,0.9613105972497514,0.9613105972497514
SB84141_component_89a,185.372768,-9.133678,127.61100006103516,249.24021911621094,185.372458,-9.133476,121.778,1.0478986357226687,1.0478986357226687
SB84141_component_91a,182.192096,-7.894507,136.94200134277344,598.0,182.19193,-7.894448,136.168,1.0056841647286692,1.0056841647286692
SB84141_component_92a,182.538576,-8.927115,141.9669952392578,594.0042114257812,182.538428,-8.927023,144.767,0.9806585426185375,0.9806585426185375
SB84141_component_95a,181.846536,-4.128948,133.83299255371094,481.41363525390625,181.846358,-4.128746,129.51,1.0333796043063157,1.0333796043063157
SB84141_component_96a,181.118892,-8.16582,126.91699981689453,491.9263916015625,181.118638,-8.165735,127.451,0.9958101530540721,0.9958101530540721
SB84141_component_101a,184.734507,-4.649775,124.42400360107422,509.9344482421875,184.734252,-4.649724,119.564,1.040647716713009,1.040647716713009
SB84141_component_106a,181.091399,-4.38362,110.70899963378906,200.19711303710938,181.091177,-4.383426,111.718,0.9909683276982139,0.9909683276982139
SB84141_component_107a,185.383347,-4.741888,105.58599853515625,447.3982849121094,185.383004,-4.741749,108.192,0.9759131778242038,0.9759131778242038
SB84141_component_111a,182.009918,-4.592458,109.12000274658203,414.9049377441406,182.009763,-4.592282,153.014,0.7131373779300065,0.7131373779300065
SB84141_component_115a,186.446284,-4.548326,103.0999984741211,294.5714416503906,186.44594,-4.548184,103.734,0.9938881993764928,0.9938881993764928
SB84141_component_116a,179.257628,-4.628104,99.5459976196289,119.6466293334961,179.257394,-4.628195,100.103,0.994435707417649,0.994435707417649
SB84141_component_121a,186.992621,-3.872058,103.21499633789062,117.55693817138672,186.992435,-3.871893,120.371,0.8574739458664514,0.8574739458664514
SB84141_component_123a,179.194926,-6.474106,103.11299896240234,124.98545837402344,179.194728,-6.474128,92.17,1.118726255423699,1.118726255423699
SB84141_component_129a,182.626374,-9.957172,100.4800033569336,166.35763549804688,182.626152,-9.957029,111.802,0.8987317163998282,0.8987317163998282
SB84141_component_132a,185.434746,-5.585034,92.23200225830078,452.11767578125,185.43437,-5.58486,94.81,0.9728087992648538,0.9728087992648538
SB84141_component_134a,186.79874,-3.78041,89.77899932861328,133.4011993408203,186.798548,-3.780276,99.683,0.9006450380567728,0.9006450380567728
SB84141_component_135a,179.382428,-4.336425,93.13800048828125,116.42250061035156,179.382299,-4.336498,94.54,0.9851703034512507,0.9851703034512507
SB84141_component_140a,181.628451,-7.511916,88.93599700927734,304.5753479003906,181.628208,-7.511897,89.47,0.9940314855177975,0.9940314855177975
SB84141_component_144a,185.454558,-3.969124,86.45899963378906,361.7531433105469,185.454277,-3.96903,79.499,1.0875482664409497,1.0875482664409497
