BEAM_NUM,BEAM_TIME,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,VIS_TOTAL,VIS_FLAGGED
0,5289054720.0,11.522971153259277,-72.30079650878906,303.5047302246094,-44.82150650024414,17.87460708618164,11.416152000427246,-36.50809097290039,14001984,1436463
1,5289054720.0,14.977028846740723,-72.30079650878906,302.0246276855469,-44.81252670288086,18.090044021606445,11.416047096252441,-40.877685546875,14001984,1475007
2,5289054720.0,11.417458534240723,-73.35028839111328,303.5040588378906,-43.77155685424805,18.1887149810791,11.369336128234863,-36.092464447021484,14001984,1432045
3,5289054720.0,15.082541465759277,-73.35028839111328,302.0501708984375,-43.76273727416992,17.711734771728516,12.156684875488281,-35.8233528137207,14001984,2841787
4,5289054720.0,8.358579635620117,-71.19393157958984,305.01373291015625,-45.861480712890625,17.10123634338379,11.299248695373535,-33.89921951293945,14001984,2959511
5,5289054720.0,11.616499900817871,-71.25106811523438,303.5057067871094,-45.87164306640625,17.54966926574707,11.345273971557617,-37.44770812988281,14001984,2323622
6,5289054720.0,14.883500099182129,-71.25106811523438,301.99786376953125,-45.86249542236328,17.771760940551758,11.41195011138916,-41.15250778198242,14001984,1435588
7,5289054720.0,18.141420364379883,-71.19393157958984,300.4908142089844,-45.834049224853516,17.983976364135742,11.41267204284668,-44.99322509765625,14001984,1555213
8,5289054720.0,18.420257568359375,-72.24040985107422,300.5451965332031,-44.78461837768555,18.206249237060547,11.28538990020752,-44.71026611328125,14001984,2226989
9,5289054720.0,18.734600067138672,-73.2862319946289,300.596923828125,-43.73531723022461,18.621570587158203,11.306727409362793,-45.443172454833984,14001984,2254614
10,5289054208.0,19.091642379760742,-74.3316421508789,300.6461486816406,-42.685794830322266,18.94915008544922,11.233664512634277,-45.31817626953125,14001984,2960319
11,5289054208.0,15.202507972717285,-74.39988708496094,302.0745849609375,-42.7127571105957,18.739742279052734,11.35886001586914,-39.93840789794922,14001984,1626207
12,5289054720.0,11.297492027282715,-74.39988708496094,303.5036315917969,-42.72142791748047,17.837696075439453,12.065054893493652,-31.057741165161133,14001984,2071373
13,5289054720.0,7.408358097076416,-74.3316421508789,304.9328918457031,-42.711795806884766,17.570402145385742,11.984726905822754,-26.511253356933594,14001984,2757114
14,5289054720.0,7.765399932861328,-73.2862319946289,304.9581604003906,-43.76176834106445,17.818124771118164,11.384765625,-32.21479034423828,14001984,1443605
15,5289054720.0,8.079741477966309,-72.24040985107422,304.9850769042969,-44.811546325683594,17.68409538269043,11.392701148986816,-32.664878845214844,14001984,1607370
16,5289054208.0,5.538041591644287,-70.03833770751953,306.581298828125,-46.88185501098633,16.594078063964844,11.249703407287598,-30.317472457885742,14001984,3714105
17,5289054208.0,8.607600212097168,-70.14649963378906,305.0443115234375,-46.91193389892578,16.822799682617188,11.358049392700195,-34.03140640258789,14001984,2915139
18,5289054208.0,11.699971199035645,-70.20076751708984,303.5069580078125,-46.922306060791016,17.31070899963379,11.449030876159668,-37.96001052856445,14001984,1713672
19,5289054208.0,14.800028800964355,-70.20076751708984,301.9698181152344,-46.91297912597656,17.48408317565918,11.431009292602539,-41.65034484863281,14001984,1624848
20,5289054720.0,17.89240074157715,-70.14649963378906,300.43353271484375,-46.88397216796875,18.796653747558594,13.716621398925781,-19.207670211791992,14001984,2318731
21,5289054720.0,20.961957931518555,-70.03833770751953,298.89862060546875,-46.83528518676758,17.133039474487305,12.131627082824707,-46.23508071899414,14001984,3176378
22,5289054208.0,21.372421264648438,-71.080078125,298.9850158691406,-45.78632354736328,17.528446197509766,12.191396713256836,-45.75783157348633,14001984,2313291
23,5289054208.0,21.831459045410156,-72.12017822265625,299.06695556640625,-44.73777389526367,17.864416122436523,12.167424201965332,-45.61623764038086,14001984,2422118
24,5289054720.0,22.348129272460938,-73.15876770019531,299.1447448730469,-43.68929672241211,18.971256256103516,11.353143692016602,-49.365482330322266,14001984,2279241
25,5289054208.0,22.933879852294922,-74.19593048095703,299.2186584472656,-42.64054870605469,19.292346954345703,11.319682121276855,-49.38764190673828,14001984,2214372
26,5289054208.0,23.603378295898438,-75.23168182373047,299.28900146484375,-41.59117889404297,19.4587459564209,11.077967643737793,-49.63591766357422,14001984,3762894
27,5289054208.0,19.50065040588379,-75.37686157226562,300.69305419921875,-41.63570785522461,19.184770584106445,11.288314819335938,-45.4492301940918,14001984,2228452
28,5289054720.0,15.340100288391113,-75.449951171875,302.0979919433594,-41.6622314453125,18.955013275146484,11.359121322631836,-40.58528518676758,14001984,1723485
29,5289054208.0,11.159899711608887,-75.449951171875,303.5034484863281,-41.67075729370117,18.616594314575195,11.380561828613281,-35.105072021484375,14001984,1608699
30,5289054208.0,6.999350070953369,-75.37686157226562,304.9091491699219,-41.661277770996094,18.248886108398438,11.29924488067627,-30.881797790527344,14001984,3026482
31,5289054208.0,2.896620750427246,-75.23168182373047,306.3147277832031,-41.63377380371094,18.01371955871582,11.328369140625,-25.81465721130371,14001984,3201710
32,5289054720.0,3.5661208629608154,-74.19593048095703,306.3619689941406,-42.68385314941406,17.35066032409668,11.972904205322266,-21.872968673706055,14001984,2895192
33,5289054720.0,4.1518707275390625,-73.15876770019531,306.41204833984375,-43.73335266113281,17.433603286743164,11.394333839416504,-27.837337493896484,14001984,3071024
34,5289054208.0,4.668541431427002,-72.12017822265625,306.46514892578125,-44.782623291015625,17.253446578979492,11.3760347366333,-28.898162841796875,14001984,2297423
35,5289054720.0,5.127579212188721,-71.080078125,306.521484375,-45.832008361816406,17.209672927856445,11.408299446105957,-29.635784149169922,14001984,1624546
