BEAM_NUM,BEAM_TIME,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,VIS_TOTAL,VIS_FLAGGED
0,5289610240.0,134.1826629638672,-44.6097297668457,265.4745788574219,0.5245386362075806,12.041223526000977,11.22468376159668,29.010242462158203,14193792,3474620
1,5289609728.0,135.15504455566406,-45.4033203125,266.5245666503906,0.525384247303009,12.053844451904297,11.245410919189453,23.83507537841797,14193792,3499931
2,5289609728.0,133.04879760742188,-45.28683090209961,265.47540283203125,-0.5254188179969788,12.094988822937012,11.218962669372559,28.431949615478516,14193792,3498904
3,5289610240.0,134.016845703125,-46.09003829956055,266.5254211425781,-0.5245725512504578,12.880169868469238,10.987656593322754,53.073604583740234,14193792,4198852
4,5289609728.0,134.3402862548828,-43.128700256347656,264.4230041503906,1.5738219022750854,11.777846336364746,11.081281661987305,30.107925415039062,14193792,4264698
5,5289610240.0,135.2902069091797,-43.92142868041992,265.4735412597656,1.5746638774871826,11.870115280151367,11.161213874816895,26.960351943969727,14193792,4290926
6,5289609728.0,136.2660369873047,-44.705589294433594,266.5238952636719,1.5755150318145752,11.983477592468262,11.23676586151123,23.10201072692871,14193792,3463309
7,5289609728.0,137.26925659179688,-45.480979919433594,267.5744323730469,1.576364517211914,12.019869804382324,11.2620849609375,18.773054122924805,14193792,3503177
8,5289609216.0,136.1553497314453,-46.188438415527344,267.5747375488281,0.5262324213981628,11.958301544189453,11.130702018737793,18.20211410522461,14193792,4168067
9,5289610240.0,135.01333618164062,-46.88508224487305,267.5755920410156,-0.5237231850624084,12.181557655334473,11.220260620117188,21.026081085205078,14193792,3635753
10,5289609728.0,133.84182739257812,-47.570587158203125,267.57696533203125,-1.5738561153411865,12.174036026000977,11.156835556030273,21.20835304260254,14193792,4296206
11,5289610240.0,132.8501434326172,-46.765419006347656,266.52642822265625,-1.5747030973434448,12.205639839172363,11.215076446533203,25.615507125854492,14193792,3626169
12,5289609728.0,131.8874053955078,-45.95241928100586,265.4761047363281,-1.5755549669265747,12.168299674987793,11.196102142333984,29.24407958984375,14193792,3447719
13,5289610240.0,130.95188903808594,-45.13174819946289,264.4255676269531,-1.576401948928833,12.071549415588379,11.108419418334961,32.514892578125,14193792,4144895
14,5289609728.0,132.1075439453125,-44.475650787353516,264.42523193359375,-0.5262708067893982,12.065911293029785,11.189715385437012,32.38025665283203,14193792,3506016
15,5289609216.0,133.2366485595703,-43.80786895751953,264.42437744140625,0.5236856937408447,11.994200706481934,11.2058687210083,31.9964542388916,14193792,3654835
16,5289609216.0,134.49058532714844,-41.64596939086914,263.36932373046875,2.623631238937378,11.598979949951172,10.787566184997559,36.64201354980469,14193792,5571142
17,5289609216.0,135.4195556640625,-42.438419342041016,264.4211120605469,2.6244771480560303,11.69871997833252,10.914342880249023,33.78418731689453,14193792,4870454
18,5289609216.0,136.3726043701172,-43.22218704223633,265.47235107421875,2.625324010848999,11.881404876708984,11.225892066955566,27.053239822387695,14193792,3751073
19,5289609728.0,137.35107421875,-43.99711227416992,266.5234069824219,2.626173257827759,11.908742904663086,11.257098197937012,22.4387149810791,14193792,3604685
20,5289609728.0,138.35638427734375,-44.76298141479492,267.57464599609375,2.6270296573638916,15.69929313659668,10.885129928588867,49.63584518432617,14193792,4250178
21,5289610240.0,139.38998413085938,-45.519561767578125,268.62640380859375,2.627880573272705,12.5343017578125,11.1130952835083,51.73927307128906,14193792,4446444
22,5289610240.0,138.3013916015625,-46.24736022949219,268.62548828125,1.577217698097229,12.590107917785645,11.112679481506348,50.62721252441406,14193792,4297519
23,5289609216.0,137.18519592285156,-46.96485137939453,268.6254577636719,0.5270788073539734,12.654213905334473,11.109148025512695,49.66633605957031,14193792,4356616
24,5289609216.0,136.0399627685547,-47.671730041503906,268.62628173828125,-0.5228752493858337,12.159889221191406,11.199742317199707,16.140478134155273,14193792,4276550
25,5289609216.0,134.8642120361328,-48.3676872253418,268.6280212402344,-1.5730080604553223,12.221261978149414,11.15942668914795,17.448972702026367,14193792,4251903
26,5289609728.0,133.65643310546875,-49.05234909057617,268.6306457519531,-2.6236634254455566,12.015979766845703,10.817545890808105,17.951200485229492,14193792,5664659
27,5289610240.0,132.639404296875,-48.244598388671875,267.5788879394531,-2.6245193481445312,12.32463264465332,11.206808090209961,23.148189544677734,14193792,3668608
28,5289609728.0,131.65365600585938,-47.42911911010742,266.52764892578125,-2.6253652572631836,12.283798217773438,11.195773124694824,26.61404800415039,14193792,3714734
29,5289609728.0,130.69729614257812,-46.60614013671875,265.4765930175781,-2.6262118816375732,12.249859809875488,11.216266632080078,29.724193572998047,14193792,3663461
30,5289609728.0,129.7685089111328,-45.77581787109375,264.42535400390625,-2.6270639896392822,11.993024826049805,10.98505973815918,31.48346519470215,14193792,4974970
31,5289609216.0,128.86566162109375,-44.93831253051758,263.37359619140625,-2.6279170513153076,12.18857192993164,11.04599380493164,37.786224365234375,14193792,4476145
32,5289609728.0,130.0419921875,-44.30356979370117,263.37451171875,-1.577255129814148,12.795135498046875,10.682746887207031,56.54869079589844,14193792,4836928
33,5289609216.0,131.1916046142578,-43.65665054321289,263.3745422363281,-0.5271190404891968,11.96508502960205,10.953429222106934,36.778526306152344,14193792,4974771
34,5289608704.0,132.31553649902344,-42.99789047241211,263.3736877441406,0.5228379964828491,11.959549903869629,11.07024097442627,36.6800422668457,14193792,4279609
35,5289608704.0,133.41485595703125,-42.327579498291016,263.3719482421875,1.5729650259017944,11.900304794311523,11.177837371826172,35.95342254638672,14193792,3566425
