Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB86132_component_16a,107.804738,-13.765612,441.052001953125,1455.6171875,107.80483333333332,-13.765388888888888,289.1,1.059434147345622,1.525603604127032
SB86132_component_18a,110.109937,-11.261988,450.5690002441406,1477.275390625,110.10987499999999,-11.261888888888887,320.9,0.9750431870989325,1.40407915314472
SB86132_component_21a,108.121339,-9.105273,374.55499267578125,698.796630859375,108.12141666666665,-9.105277777777777,249.3,1.0433393150792958,1.5024267656469363
SB86132_component_28a,110.599183,-7.893634,296.010986328125,221.73106384277344,110.59916666666665,-7.8936666666666655,196.5,1.0461104396371246,1.5064172332220103
SB86132_component_32a,109.949502,-9.114049,266.385009765625,890.9197998046875,109.94937499999999,-9.113999999999999,209.3,0.8838382948805208,1.2727425215748924
SB86132_component_36a,109.931819,-12.725531,260.1319885253906,1040.5279541015625,109.93195833333331,-12.725472222222221,181.4,0.9958381020985917,1.434024192532473
SB86132_component_37a,106.325229,-13.638442,276.8380126953125,756.3880004882812,106.32529166666666,-13.638388888888887,162.2,1.1852422763813177,1.706769498738055
SB86132_component_44a,108.186519,-10.136976,231.62100219726562,870.755615234375,108.18645833333332,-10.137388888888887,140.6,1.1439969763120623,1.6473755490559434
SB86132_component_46a,106.282862,-9.734011,228.99200439453125,261.10833740234375,106.28291666666665,-9.733999999999998,156.0,1.019360923131163,1.467897464067508
SB86132_component_47a,106.352153,-9.838694,227.73500061035156,311.96575927734375,106.35199999999999,-9.83875,130.7,1.2100030241796333,1.7424254063531108
SB86132_component_50a,109.374644,-17.084681,225.66400146484375,146.34500122070312,109.37449999999998,-17.084749999999996,154.6,1.0136430710550983,1.459663657599248
SB86132_component_51a,111.404802,-9.126224,201.3350067138672,372.84259033203125,111.40470833333332,-9.126333333333331,154.9,0.9026099913754146,1.299774091115992
SB86132_component_54a,108.543659,-10.674192,200.20799255371094,848.3389282226562,108.54387499999999,-10.674361111111109,125.9,1.104302211258785,1.5902143967729223
SB86132_component_59a,111.316533,-12.62727,193.6179962158203,790.2775268554688,111.31654166666665,-12.627055555555554,115.9,1.160097647475784,1.6705607956498731
SB86132_component_65a,111.091406,-12.467863,192.3769989013672,840.07421875,111.09129166666665,-12.467555555555554,124.7,1.0713193589730625,1.542718515648494
SB86132_component_67a,111.812574,-8.725216,172.802001953125,164.416748046875,111.81283333333332,-8.725194444444444,127.1,0.9441380048731205,1.359575153053698
SB86132_component_69a,111.91814,-9.40209,172.88299560546875,275.73046875,111.91816666666665,-9.401972222222222,127.6,0.9408791953897668,1.3548824107011659
SB86132_component_75a,111.854777,-9.290124,162.64100646972656,249.06739807128906,111.85495833333331,-9.290083333333332,92.3,1.2236595753809045,1.762091077678511
SB86132_component_76a,111.731026,-10.998026,165.11900329589844,747.1448364257812,111.73116666666665,-10.998083333333332,107.9,1.062693133886057,1.5302966014448418
SB86132_component_80a,105.308039,-10.569652,164.62899780273438,222.17138671875,105.30812499999999,-10.569444444444443,157.9,0.7240298395505064,1.0426155655651321
SB86132_component_87a,111.24591,-15.758117,150.21099853515625,143.33111572265625,111.24583333333332,-15.75797222222222,169.2,0.6165007868917741,0.8877718589548242
SB86132_component_91a,109.17905,-17.120898,161.75999450683594,110.87045288085938,109.17908333333332,-17.120666666666665,114.6,0.9802091826903692,1.4115182766739611
SB86132_component_93a,112.340507,-12.289266,147.14999389648438,459.84375,112.34066666666665,-12.289694444444443,100.2,1.0198229656534419,1.4685628133381674
SB86132_component_95a,107.875771,-12.055705,142.27000427246094,671.0849609375,107.87591666666665,-12.055555555555554,97.6,1.0122686518311461,1.457684470004723
SB86132_component_98a,108.721413,-17.26542,144.32699584960938,103.01712799072266,108.72145833333332,-17.26536111111111,99.4,1.0083085466134531,1.4519818495936556
SB86132_component_106a,105.432157,-12.283642,137.24600219726562,348.3401184082031,105.432375,-12.28347222222222,90.5,1.053133394923717,1.5165304110195097
SB86132_component_110a,110.165197,-7.731279,116.39700317382812,78.59352111816406,110.16504166666665,-7.7310277777777765,118.3,0.6832652208089789,0.9839138053578033
SB86132_component_111a,107.060106,-14.039509,117.6780014038086,478.3658447265625,107.05991666666665,-14.039277777777777,85.5,0.9557876839550142,1.3763508936117965
SB86132_component_116a,111.568962,-9.944402,115.88800048828125,332.05731201171875,111.56904166666665,-9.944277777777776,80.0,1.0059600725637456,1.4486000061035156
SB86132_component_118a,106.281003,-10.488328,126.1729965209961,363.6109313964844,106.28108333333331,-10.488249999999999,70.3,1.2463595713943068,1.7947794668704993
SB86132_component_119a,111.937154,-11.617108,119.13500213623047,502.6793212890625,111.93724999999999,-11.617083333333332,78.1,1.0593039797433499,1.5254161605151149
SB86132_component_123a,105.573842,-13.262956,118.00700378417969,217.3241424560547,105.57399999999998,-13.262888888888888,69.4,1.1808114998998411,1.700389103518439
SB86132_component_125a,107.821374,-9.769808,110.77100372314453,296.17913818359375,107.82124999999999,-9.769555555555554,84.7,0.9081862899813242,1.3078040581244927
SB86132_component_126a,110.460563,-9.820086,109.50800323486328,439.7911682128906,110.46049999999998,-9.820083333333333,70.6,1.0771431400240707,1.551104861683616
SB86132_component_129a,104.763139,-11.420634,114.9800033569336,135.2705841064453,104.76324999999999,-11.420611111111109,62.2,1.2837019270072236,1.8485531086323728
SB86132_component_130a,107.623182,-11.306605,108.28099822998047,510.7594299316406,107.62329166666666,-11.306444444444443,74.2,1.0133993149790577,1.459312644608901
SB86132_component_132a,112.129621,-9.035155,108.58799743652344,100.63762664794922,112.12945833333332,-9.035444444444444,83.7,0.9009249759752097,1.2973476396239358
SB86132_component_135a,107.995719,-9.446825,115.93099975585938,331.2314453125,107.99554166666665,-9.44672222222222,103.2,0.7801033531668251,1.1233624007350715
SB86132_component_137a,105.024883,-11.908554,107.27999877929688,174.43902587890625,105.02483333333332,-11.908555555555553,72.7,1.0247468921941005,1.4756533532227905
SB86132_component_143a,110.754041,-10.448567,100.6520004272461,396.2677001953125,110.75412499999999,-10.448694444444444,64.6,1.0819872761409115,1.558080501969754
SB86132_component_144a,106.739013,-14.995321,103.44599914550781,266.6134033203125,106.73912499999999,-14.994999999999997,67.9,1.0579768996238528,1.5235051420546069
SB86132_component_145a,106.988177,-11.277306,99.21900177001953,381.611572265625,106.98824999999998,-11.27697222222222,76.4,0.9018488495457554,1.298678033638999
SB86132_component_157a,110.265935,-12.162046,92.00299835205078,351.156494140625,110.26612499999999,-12.161999999999999,49.2,1.2985812838125224,1.869979641301845
SB86132_component_167a,108.336474,-14.561375,88.12899780273438,381.51080322265625,108.33654166666665,-14.56122222222222,59.4,1.0303022476022823,1.4836531616621949
SB86132_component_169a,107.750524,-13.992021,89.67500305175781,381.59576416015625,107.75066666666665,-13.991777777777775,125.6,0.495808561247653,0.7139729542337406
SB86132_component_171a,112.943847,-12.243811,85.83999633789062,202.93142700195312,112.94379166666666,-12.243666666666664,53.7,1.1100630979876693,1.5985101738899556
SB86132_component_178a,107.061371,-12.872333,83.55400085449219,407.58050537109375,107.06133333333332,-12.872166666666665,53.2,1.0906562157555346,1.5705639258363193
SB86132_component_180a,113.925064,-14.093273,86.2979965209961,90.36439514160156,113.92504166666666,-14.09336111111111,61.6,0.9728642889932343,1.4009415019642222
SB86132_component_181a,109.02877,-11.071174,87.36100006103516,469.6827697753906,109.02849999999998,-11.07097222222222,59.5,1.019607196404765,1.468252101866137
SB86132_component_183a,108.077132,-16.499848,87.9489974975586,198.5304718017578,108.07716666666666,-16.49986111111111,57.7,1.058491417779346,1.5242460571500622
SB86132_component_184a,109.653081,-9.68262,77.97799682617188,340.5152587890625,109.65295833333332,-9.682749999999999,53.4,1.0140586599578973,1.4602621128496607
SB86132_component_186a,107.899925,-12.263994,80.31099700927734,341.7489318847656,107.89995833333332,-12.264055555555554,51.7,1.0787398816962355,1.5534041974715154
SB86132_component_187a,113.085983,-10.850637,82.41600036621094,108.87185668945312,113.08599999999998,-10.850583333333333,65.7,0.8711208844637578,1.254429229318279
SB86132_component_191a,112.071768,-11.227273,73.1709976196289,314.03863525390625,112.07162499999998,-11.22736111111111,65.1,0.780531165583977,1.123978458058816
SB86132_component_192a,110.119844,-12.034092,76.5,366.0286865234375,110.11991666666665,-12.03361111111111,45.0,1.180541292387764,1.7
SB86132_component_194a,106.725806,-14.073582,79.05999755859375,274.5138854980469,106.72579166666665,-14.073527777777777,46.1,1.1909352008931446,1.7149674090801246
SB86132_component_196a,111.906198,-10.627456,77.52799987792969,323.0333251953125,111.90641666666666,-10.6275,53.3,1.0100982802353995,1.4545590971468985
SB86132_component_200a,108.472334,-9.871165,70.59100341796875,322.3333435058594,108.47254166666666,-9.871194444444443,43.1,1.1373767490923694,1.6378423066814094
SB86132_component_202a,109.961908,-13.254179,67.91600036621094,305.92791748046875,109.96154166666665,-13.253555555555554,34.4,1.3710267244551049,1.9743023362270622
SB86132_component_203a,108.655967,-12.293031,76.26200103759766,320.4285583496094,108.65591666666666,-12.293277777777776,50.5,1.0486947147932737,1.5101386344078744
SB86132_component_205a,107.200216,-16.8022,69.6760025024414,52.6253776550293,107.20020833333332,-16.802249999999997,63.4,0.7631786791857976,1.0989905757482872
SB86132_component_206a,111.643771,-13.7642,67.55599975585938,234.5694580078125,111.64366666666665,-13.763805555555553,39.8,1.178726681352789,1.6973869285391805
SB86132_component_207a,111.374447,-12.191631,69.09600067138672,314.0727233886719,111.37449999999998,-12.19136111111111,38.2,1.2560930386730011,1.808795829093893
SB86132_component_210a,112.076932,-12.597949,67.49400329589844,232.73794555664062,112.07720833333332,-12.597888888888887,65.9,0.7112332221669548,1.024188213898307
SB86132_component_211a,111.481009,-11.256683,66.98400115966797,345.2783508300781,111.48129166666665,-11.256527777777777,47.9,0.9711086736870675,1.3984133853792895
SB86132_component_212a,105.825683,-12.696895,73.39900207519531,224.4617919921875,105.82583333333332,-12.696777777777775,48.7,1.046630665174819,1.5071663670471316
SB86132_component_218a,107.475979,-14.512702,69.72200012207031,319.82568359375,107.47579166666665,-14.51247222222222,35.6,1.3600413108388754,1.958483149496357
SB86132_component_221a,110.742683,-11.102962,64.26100158691406,311.94659423828125,110.74299999999998,-11.102944444444443,39.4,1.1326181824954866,1.6309898879927427
SB86132_component_222a,107.601313,-14.614201,66.7239990234375,327.07843017578125,107.60137499999999,-14.613944444444442,44.4,1.0435934822523691,1.5027927707981419
SB86132_component_223a,111.313876,-10.059937,65.7490005493164,222.8779754638672,111.31391666666666,-10.059805555555554,38.5,1.185934455029699,1.7077662480341924
