Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB86120_component_3a,116.834065,-18.946873,2353.31591796875,556.9978637695312,116.83403778076172,-18.946903228759766,2159.94091796875,1.0374795198440552,1.08952796459198
SB86120_component_4a,112.881339,-22.40577,1619.989013671875,773.2644653320312,112.88127899169922,-22.405792236328125,1965.4730224609375,0.7848490476608276,0.8242234587669373
SB86120_component_6a,110.181584,-15.327812,1108.468017578125,794.6007690429688,110.1816177368164,-15.327781677246094,1005.7991943359375,1.049428939819336,1.1020768880844116
SB86120_component_8a,108.063306,-18.79807,799.6079711914062,347.0520935058594,108.0634765625,-18.798044204711914,625.469970703125,1.2173397541046143,1.2784115076065063
SB86120_component_11a,110.098755,-16.231858,576.2730102539062,1258.238037109375,110.09876251220703,-16.231882095336914,537.2046508789062,1.0214794874191284,1.0727252960205078
SB86120_component_14a,112.349781,-16.615692,515.3820190429688,1636.1334228515625,112.34980773925781,-16.615697860717773,672.9468994140625,0.7292721271514893,0.7658583521842957
SB86120_component_15a,111.871906,-17.799465,525.1270141601562,1462.7493896484375,111.87191009521484,-17.799482345581055,493.0587463378906,1.0141609907150269,1.0650393962860107
SB86120_component_18a,114.790225,-16.946189,435.99200439453125,1162.6453857421875,114.7901611328125,-16.94622039794922,439.28485107421875,0.945090651512146,0.9925040602684021
SB86120_component_29a,112.513339,-21.409011,316.114013671875,847.4906616210938,112.51331329345703,-21.408987045288086,287.85015869140625,1.0457273721694946,1.0981894731521606
SB86120_component_31a,109.55896,-18.217775,319.5480041503906,892.5921630859375,109.5589828491211,-18.21776008605957,316.3625793457031,0.9618164300918579,1.0100688934326172
SB86120_component_34a,111.370332,-18.868639,310.47601318359375,918.568115234375,111.37029266357422,-18.868680953979492,371.21405029296875,0.7964248657226562,0.8363800048828125
SB86120_component_35a,114.220094,-16.462387,301.49798583984375,814.8594360351562,114.22005462646484,-16.462366104125977,278.0759582519531,1.0324336290359497,1.0842288732528687
SB86120_component_41a,110.539177,-17.234799,265.1619873046875,831.228759765625,110.53916931152344,-17.234798431396484,230.40670776367188,1.0958657264709473,1.1508431434631348
SB86120_component_45a,111.191354,-15.734127,256.27801513671875,762.732177734375,111.19136047363281,-15.734138488769531,234.69667053222656,1.0397899150848389,1.091954231262207
SB86120_component_48a,114.703553,-14.845269,238.4149932861328,415.35711669921875,114.70349884033203,-14.845297813415527,198.66432189941406,1.1427595615386963,1.200089693069458
SB86120_component_50a,109.374655,-17.084675,240.5919952392578,681.5637817382812,109.37468719482422,-17.08468246459961,220.51734924316406,1.0389139652252197,1.0910342931747437
SB86120_component_53a,109.746838,-18.047422,236.09800720214844,735.5078125,109.7468490600586,-18.047426223754883,221.45452880859375,1.0151937007904053,1.0661240816116333
SB86120_component_56a,109.33009,-19.45941,228.78900146484375,480.6491394042969,109.33015441894531,-19.459457397460938,196.4581756591797,1.1089352369308472,1.164568543434143
SB86120_component_57a,114.782298,-16.310896,214.6510009765625,642.6676635742188,114.7822265625,-16.31088638305664,216.7399139404297,0.9430510401725769,0.9903621077537537
SB86120_component_58a,108.770847,-19.843093,217.56700134277344,196.1830596923828,108.77095794677734,-19.84313201904297,179.80331420898438,1.1522228717803955,1.210027813911438
SB86120_component_61a,113.874425,-13.580654,212.01300048828125,164.35116577148438,113.87440490722656,-13.580636024475098,221.64724731445312,0.9108383655548096,0.9565334320068359
SB86120_component_64a,115.633685,-20.728041,187.9929962158203,237.36489868164062,115.63371276855469,-20.728097915649414,186.9658966064453,0.957459568977356,1.0054935216903687
SB86120_component_65a,112.957199,-21.063963,182.75,486.0372619628906,112.95716857910156,-21.06393814086914,189.0327606201172,0.9205799102783203,0.9667636156082153
SB86120_component_67a,112.908536,-13.483652,185.17999267578125,314.39727783203125,112.90863800048828,-13.483654022216797,207.66612243652344,0.8491210341453552,0.8917198181152344
SB86120_component_71a,111.012727,-15.08816,173.13499450683594,357.7169189453125,111.01275634765625,-15.088171005249023,156.20652770996094,1.0554237365722656,1.1083723306655884
SB86120_component_72a,115.500022,-16.641092,173.78199768066406,472.23370361328125,115.49989318847656,-16.641143798828125,173.25958251953125,0.9550996422767639,1.003015160560608
SB86120_component_74a,109.179005,-17.12082,175.5760040283203,498.79547119140625,109.17903900146484,-17.120819091796875,160.05422973632812,1.0445739030838013,1.0969781875610352
SB86120_component_76a,109.1134,-19.834933,164.093994140625,258.0094299316406,109.11345672607422,-19.835004806518555,134.5892333984375,1.160976767539978,1.219220757484436
SB86120_component_77a,109.62549,-19.206458,173.08999633789062,455.5,109.62553405761719,-19.206491470336914,149.75204467773438,1.1006275415420532,1.15584397315979
SB86120_component_78a,108.757816,-19.718323,179.4770050048828,178.22940063476562,108.7579345703125,-19.718381881713867,152.3296661376953,1.1219292879104614,1.178214430809021
SB86120_component_79a,111.238069,-15.360883,161.0019989013672,545.76953125,111.23810577392578,-15.360880851745605,155.01791381835938,0.9889869093894958,1.038602590560913
SB86120_component_80a,111.787392,-21.235638,156.5709991455078,545.5435791015625,111.78742218017578,-21.235618591308594,142.03607177734375,1.0496724843978882,1.102332592010498
SB86120_component_83a,108.721362,-17.265364,157.8800048828125,431.36614990234375,108.721435546875,-17.26535415649414,141.7412109375,1.0606502294540405,1.1138609647750854
SB86120_component_84a,110.435875,-21.506366,150.531005859375,319.5987548828125,110.43596649169922,-21.506351470947266,131.5243682861328,1.0898354053497314,1.1445103883743286
SB86120_component_86a,112.131819,-18.368542,149.4250030517578,511.7294616699219,112.13180541992188,-18.36855125427246,147.0849151611328,0.9673782587051392,1.0159097909927368
SB86120_component_87a,111.245873,-15.758124,143.2480010986328,456.20379638671875,111.24588012695312,-15.75814437866211,140.146484375,0.9733018279075623,1.0221304893493652
SB86120_component_88a,114.513085,-17.816077,144.09300231933594,495.1649475097656,114.5130615234375,-17.81614112854004,131.30023193359375,1.0450055599212646,1.0974314212799072
SB86120_component_92a,116.002254,-20.252461,135.1300048828125,184.8563690185547,116.00231170654297,-20.25248908996582,129.6278533935547,0.9926465153694153,1.0424457788467407
SB86120_component_93a,113.340906,-14.191853,144.55999755859375,305.6236877441406,113.34092712402344,-14.191813468933105,142.31680297851562,0.9672374725341797,1.0157619714736938
SB86120_component_97a,111.139401,-20.289587,137.14199829101562,374.7049255371094,111.13938903808594,-20.289621353149414,123.57315826416016,1.0567870140075684,1.1098041534423828
SB86120_component_98a,111.459038,-19.071909,133.7519989013672,493.5498046875,111.45902252197266,-19.071935653686523,185.74972534179688,0.6856670379638672,0.7200656533241272
SB86120_component_99a,110.342356,-19.488883,132.58099365234375,450.95574951171875,110.3423843383789,-19.488924026489258,123.08269500732422,1.025712013244629,1.0771700143814087
SB86120_component_102a,110.88434,-21.956703,134.8070068359375,285.0042419433594,110.88438415527344,-21.956722259521484,122.09353637695312,1.0513830184936523,1.1041289567947388
SB86120_component_105a,110.061193,-21.192108,130.06900024414062,239.5377655029297,110.06127166748047,-21.192089080810547,116.85418701171875,1.0599141120910645,1.1130880117416382
SB86120_component_110a,114.867946,-21.650893,123.24199676513672,87.9671630859375,114.86783599853516,-21.65100860595703,112.22514343261719,1.0457062721252441,1.0981674194335938
SB86120_component_112a,114.614198,-15.822828,123.50299835205078,376.53350830078125,114.61415100097656,-15.822803497314453,118.21257019042969,0.9948440194129944,1.0447535514831543
SB86120_component_116a,108.531291,-19.484558,128.33999633789062,94.02197265625,108.53144836425781,-19.484630584716797,101.20525360107422,1.2075361013412476,1.2681159973144531
SB86120_component_123a,109.227976,-20.987986,108.48200225830078,85.75652313232422,109.22801208496094,-20.98798179626465,97.02562713623047,1.0646636486053467,1.1180757284164429
SB86120_component_128a,115.593354,-16.668211,105.31600189208984,270.7352294921875,115.59322357177734,-16.668270111083984,82.15061950683594,1.220744252204895,1.2819867134094238
SB86120_component_132a,110.230023,-20.418792,103.55599975585938,339.5278625488281,110.2300796508789,-20.418838500976562,103.35608673095703,0.9540703296661377,1.0019341707229614
SB86120_component_137a,110.756227,-18.749845,100.68800354003906,183.4025421142578,110.7562026977539,-18.7498722076416,90.46128845214844,1.0598787069320679,1.1130506992340088
SB86120_component_138a,111.645496,-15.458637,97.86399841308594,383.7803955078125,111.64551544189453,-15.45865535736084,94.47998046875,0.9863347411155701,1.035817265510559
SB86120_component_144a,114.614208,-17.731917,94.97599792480469,333.2491149902344,114.61418151855469,-17.73197364807129,98.6139144897461,0.9171003103256226,0.9631094932556152
SB86120_component_145a,114.079017,-18.327011,95.93499755859375,310.4692687988281,114.07903289794922,-18.327058792114258,86.35128784179688,1.0579116344451904,1.1109851598739624
SB86120_component_146a,115.478534,-17.774023,95.9729995727539,342.7607116699219,115.47844696044922,-17.774072647094727,89.53311920166016,1.0207197666168213,1.0719273090362549
SB86120_component_150a,112.913027,-16.298835,94.66600036621094,372.7007751464844,112.91300964355469,-16.2988338470459,88.05855560302734,1.0236786603927612,1.0750346183776855
SB86120_component_153a,110.828017,-15.999717,92.4749984741211,300.2434997558594,110.82801055908203,-15.999713897705078,84.5124282836914,1.0419453382492065,1.0942177772521973
SB86120_component_155a,113.387463,-15.921075,93.71800231933594,382.5224609375,113.38743591308594,-15.921063423156738,85.3082504272461,1.0460999011993408,1.0985807180404663
SB86120_component_156a,110.616607,-15.277387,94.3280029296875,173.0789031982422,110.61663818359375,-15.277385711669922,86.10391998291016,1.0431791543960571,1.0955134630203247
SB86120_component_157a,110.793411,-18.397788,90.28900146484375,313.50347900390625,110.79338836669922,-18.397809982299805,82.59215545654297,1.040967583656311,1.0931910276412964
SB86120_component_158a,115.722598,-19.908455,87.32599639892578,178.94671630859375,115.72265625,-19.908458709716797,79.41522216796875,1.0470826625823975,1.099612832069397
SB86120_component_162a,110.707929,-20.305326,93.18000030517578,342.5735168457031,110.70797729492188,-20.305322647094727,82.27693176269531,1.0784146785736084,1.1325167417526245
SB86120_component_164a,110.806564,-16.509973,83.00800323486328,310.89141845703125,110.80654907226562,-16.50998306274414,78.8274154663086,1.0027296543121338,1.0530346632003784
SB86120_component_165a,117.495239,-19.740485,89.23799896240234,50.36004638671875,117.49531555175781,-19.740646362304688,81.54325866699219,1.0420844554901123,1.0943639278411865
SB86120_component_169a,109.509029,-20.326698,82.60800170898438,167.22268676757812,109.50910949707031,-20.326732635498047,70.25457000732422,1.119666576385498,1.1758381128311157
SB86120_component_170a,114.671418,-14.446628,83.08599853515625,120.06647491455078,114.67134094238281,-14.446670532226562,86.5361557006836,0.9142636060714722,0.9601304531097412
SB86120_component_172a,109.933211,-21.611064,82.36900329589844,88.0951919555664,109.93329620361328,-21.61104393005371,71.83001708984375,1.0919406414031982,1.1467212438583374
SB86120_component_173a,115.324635,-18.471867,79.4729995727539,231.02615356445312,115.3246841430664,-18.47185707092285,71.36881256103516,1.0603575706481934,1.1135536432266235
SB86120_component_174a,110.838509,-21.649386,82.40499877929688,207.0477294921875,110.83860778808594,-21.649381637573242,69.95814514160156,1.1216477155685425,1.177918553352356
SB86120_component_177a,114.508576,-14.660352,80.28099822998047,171.17483520507812,114.50849914550781,-14.660368919372559,80.85400390625,0.9454801678657532,0.9929130673408508
SB86120_component_178a,111.392628,-17.914925,81.5790023803711,348.6282043457031,111.39261627197266,-17.91495704650879,90.10806274414062,0.8620965480804443,0.9053463339805603
SB86120_component_179a,111.722676,-20.407609,80.53700256347656,271.1683654785156,111.72265625,-20.4075984954834,68.66902160644531,1.1168010234832764,1.1728287935256958
SB86120_component_183a,117.472062,-18.440957,90.45700073242188,30.788631439208984,117.47178649902344,-18.441022872924805,89.17857360839844,0.9658792018890381,1.0143356323242188
