Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB85840_component_14a,100.86016,8.9606,516.0980224609375,559.75927734375,100.859923,8.960718,387.414,1.3321615183264868,1.3321615183264868
SB85840_component_17a,101.92764,9.078446,413.2309875488281,340.1077880859375,101.927337,9.078492,447.965,0.9224626646028777,0.9224626646028777
SB85840_component_24a,96.591526,3.633324,377.79998779296875,335.82220458984375,96.591088,3.63366,353.035,1.0701488175194207,1.0701488175194207
SB85840_component_27a,96.380807,4.601035,358.0539855957031,344.946044921875,96.380415,4.601341,353.085,1.0140730577501258,1.0140730577501258
SB85840_component_28a,96.909437,3.416405,341.322998046875,412.225830078125,96.909023,3.416723,286.934,1.189552294419187,1.189552294419187
SB85840_component_32a,99.117254,1.603637,297.3659973144531,906.6036376953125,99.116797,1.60377,286.215,1.0389602128276056,1.0389602128276056
SB85840_component_33a,99.761764,9.004874,305.1189880371094,277.12896728515625,99.761519,9.00503,339.167,0.8996128398019542,0.8996128398019542
SB85840_component_38a,98.575984,7.538151,227.4949951171875,521.7775268554688,98.57557,7.538409,226.874,1.002737180625314,1.002737180625314
SB85840_component_39a,104.895277,3.086487,232.47999572753906,159.56072998046875,104.894895,3.086623,243.022,0.9566211936678123,0.9566211936678123
SB85840_component_41a,100.108482,8.598617,218.25799560546875,426.2851257324219,100.108336,8.598812,231.745,0.9418023931712388,0.9418023931712388
SB85840_component_43a,101.144028,4.528874,204.2760009765625,797.9530639648438,101.143763,4.529144,193.814,1.0539795937164627,1.0539795937164627
SB85840_component_48a,102.811099,8.439172,200.52499389648438,198.5395965576172,102.810968,8.439244,207.1,0.9682520226773751,0.9682520226773751
SB85840_component_54a,100.056442,2.849824,181.39700317382812,575.863525390625,100.056137,2.850032,166.916,1.0867562317203152,1.0867562317203152
SB85840_component_60a,100.305019,6.160087,174.53700256347656,687.1535034179688,100.304741,6.160289,175.252,0.9959201753102763,0.9959201753102763
SB85840_component_61a,100.605361,1.905168,164.63400268554688,376.7368469238281,100.605075,1.905379,158.081,1.0414534490896874,1.0414534490896874
SB85840_component_64a,101.00394,1.372783,157.01300048828125,285.4781799316406,101.003666,1.372948,146.57,1.0712492357800454,1.0712492357800454
SB85840_component_68a,100.815561,5.59194,156.33799743652344,630.3951416015625,100.81524,5.592174,152.495,1.025200809446365,1.025200809446365
SB85840_component_76a,103.32911,5.348731,139.36900329589844,438.267333984375,103.328858,5.349006,109.318,1.2748952898506964,1.2748952898506964
SB85840_component_79a,97.48879,4.795945,140.32699584960938,313.9306335449219,97.48831,4.796194,139.514,1.0058273424144484,1.0058273424144484
SB85840_component_80a,102.372045,7.26876,134.66900634765625,438.6612548828125,102.371856,7.268892,134.59,1.0005870149911305,1.0005870149911305
SB85840_component_81a,101.562287,4.735152,136.8000030517578,562.9629516601562,101.561967,4.735353,132.095,1.03561832811051,1.03561832811051
SB85840_component_82a,99.343754,0.754768,134.33700561523438,236.09315490722656,99.343386,0.754915,129.981,1.033512633502084,1.033512633502084
SB85840_component_83a,101.50022,4.325415,131.58900451660156,463.341552734375,101.49989,4.325648,128.225,1.0262351687783315,1.0262351687783315
SB85840_component_84a,100.31099,1.042065,131.9459991455078,240.77737426757812,100.310763,1.042237,111.164,1.1869490045833886,1.1869490045833886
SB85840_component_87a,96.483194,5.959902,132.8489990234375,347.7722473144531,96.482856,5.960233,136.166,0.9756400204415016,0.9756400204415016
SB85840_component_88a,101.932904,8.272074,125.37200164794922,337.0215148925781,101.932731,8.272217,125.103,1.0021502413846928,1.0021502413846928
SB85840_component_89a,99.07005,0.751717,129.36500549316406,206.6533660888672,99.069611,0.751899,130.558,0.9908623408229604,0.9908623408229604
SB85840_component_91a,99.417981,5.566804,130.37600708007812,449.57244873046875,99.417577,5.567038,122.754,1.062091720677763,1.062091720677763
SB85840_component_93a,102.418435,2.486399,113.02899932861328,230.67141723632812,102.418079,2.486519,103.928,1.0875702344759188,1.0875702344759188
SB85840_component_95a,98.146844,2.125678,128.14199829101562,305.8281555175781,98.146309,2.125819,115.65,1.1080155494251243,1.1080155494251243
SB85840_component_96a,98.868348,5.435392,117.66200256347656,421.72760009765625,98.867887,5.435641,112.314,1.0476165265548067,1.0476165265548067
SB85840_component_99a,104.301582,2.409032,124.08200073242188,91.03594970703125,104.301637,2.409592,54.159,2.2910689032740983,2.2910689032740983
SB85840_component_104a,98.239857,7.573144,112.62799835205078,230.32310485839844,98.239478,7.573467,108.123,1.0416654953344873,1.0416654953344873
SB85840_component_105a,97.484509,4.442534,110.08699798583984,336.6575012207031,97.48402,4.442845,105.422,1.0442507065492956,1.0442507065492956
SB85840_component_107a,101.634271,8.87391,105.75,182.3275909423828,101.634014,8.874009,111.56,0.9479204015776264,0.9479204015776264
SB85840_component_108a,100.391861,4.300881,107.99400329589844,391.2826232910156,100.39161,4.301207,93.445,1.1556958991481454,1.1556958991481454
SB85840_component_110a,101.359954,8.56757,103.8479995727539,282.9645690917969,101.359756,8.567764,103.862,0.9998652016401948,0.9998652016401948
SB85840_component_111a,105.082677,3.875928,113.89099884033203,80.77375793457031,105.082411,3.87607,113.222,1.0059087354077125,1.0059087354077125
SB85840_component_114a,96.212308,5.063684,100.33899688720703,146.05386352539062,96.211996,5.064,95.657,1.0489456797433228,1.0489456797433228
SB85840_component_115a,102.339661,2.691234,95.85399627685547,193.2540283203125,102.339329,2.691338,86.073,1.1136360563342218,1.1136360563342218
SB85840_component_116a,100.23651,2.426153,107.87699890136719,359.5899963378906,100.236205,2.426328,98.253,1.0979511964150426,1.0979511964150426
SB85840_component_119a,102.377485,1.38821,101.2490005493164,89.44258117675781,102.377094,1.388382,87.17,1.161511994370958,1.161511994370958
SB85840_component_121a,98.626156,7.769699,98.54900360107422,216.11624145507812,98.625761,7.769962,103.925,0.9482704219492347,0.9482704219492347
SB85840_component_123a,102.270406,7.941226,96.0009994506836,260.8722839355469,102.270233,7.941368,120.955,0.7936918643353611,0.7936918643353611
SB85840_component_124a,96.924401,4.967393,98.75700378417969,271.3104553222656,96.924033,4.967669,95.001,1.0395364657654096,1.0395364657654096
SB85840_component_128a,102.822903,7.146232,92.78099822998047,283.73394775390625,102.822693,7.146379,98.429,0.9426185192370182,0.9426185192370182
SB85840_component_129a,98.662137,5.611737,100.15599822998047,337.2255859375,98.661763,5.612064,96.191,1.0412200541628682,1.0412200541628682
SB85840_component_132a,98.263257,4.748777,93.55400085449219,120.0949935913086,98.26269,4.74907,95.202,0.9826894482730635,0.9826894482730635
SB85840_component_133a,102.712488,7.350334,89.46299743652344,244.43441772460938,102.712311,7.350482,87.641,1.0207893273299418,1.0207893273299418
SB85840_component_134a,97.883664,3.317003,86.6780014038086,330.8320617675781,97.883234,3.317237,79.072,1.0961908311894044,1.0961908311894044
SB85840_component_136a,103.026807,5.676808,88.92400360107422,348.7215881347656,103.026507,5.677058,85.577,1.039111018159952,1.039111018159952
SB85840_component_137a,102.924657,2.04054,84.66899871826172,122.35404968261719,102.924197,2.040672,76.395,1.1083055005990146,1.1083055005990146
SB85840_component_138a,100.392897,3.197464,83.2239990234375,304.8498229980469,100.392629,3.197691,76.605,1.0864042689568238,1.0864042689568238
SB85840_component_140a,100.624774,8.841655,85.91300201416016,172.5160675048828,100.624568,8.841825,88.324,0.9727027989466075,0.9727027989466075
SB85840_component_141a,99.192331,7.241273,91.39199829101562,326.3999938964844,99.191983,7.241492,89.339,1.0229798664750627,1.0229798664750627
SB85840_component_143a,98.591977,3.017895,83.96600341796875,302.0359802246094,98.591486,3.018043,80.75,1.0398266677147834,1.0398266677147834
SB85840_component_149a,98.070551,2.946008,78.16100311279297,274.2491455078125,98.070147,2.946178,63.25,1.2357470847872407,1.2357470847872407
SB85840_component_150a,101.104386,3.183341,76.5479965209961,246.13504028320312,101.104062,3.18358,80.069,0.956025384618218,0.956025384618218
SB85840_component_152a,99.123956,4.357721,83.927001953125,277.90399169921875,99.123442,4.357921,82.333,1.019360425991097,1.019360425991097
SB85840_component_156a,96.84702,5.588755,78.08100128173828,267.40069580078125,96.84671,5.588979,79.157,0.986406777438992,0.986406777438992
SB85840_component_158a,101.366425,2.677232,71.3030014038086,222.12771606445312,101.366037,2.67738,62.016,1.1497516996228165,1.1497516996228165
SB85840_component_159a,102.978073,4.463667,73.65899658203125,240.71568298339844,102.977817,4.46395,67.389,1.0930418403898448,1.0930418403898448
SB85840_component_160a,101.252123,0.589116,83.24299621582031,29.177356719970703,101.251758,0.58938,86.818,0.9588218597044428,0.9588218597044428
SB85840_component_162a,99.95491,6.411042,76.30899810791016,331.77825927734375,99.954633,6.411288,75.134,1.0156387002942764,1.0156387002942764
SB85840_component_166a,96.424134,6.453695,75.43699645996094,148.20628356933594,96.423731,6.454039,80.51,0.9369891499187795,0.9369891499187795
SB85840_component_167a,99.317145,8.203775,79.94999694824219,197.4073944091797,99.316844,8.203962,82.465,0.9695021760533824,0.9695021760533824
SB85840_component_169a,97.11812,7.705504,82.06999969482422,57.112037658691406,97.11758,7.70573,91.686,0.8951202985714746,0.8951202985714746
SB85840_component_170a,98.15992,1.740883,77.15499877929688,163.11839294433594,98.159433,1.741025,72.057,1.0707495285579038,1.0707495285579038
SB85840_component_171a,97.414393,6.230531,75.45700073242188,282.6105041503906,97.414033,6.230871,78.762,0.9580381495190812,0.9580381495190812
SB85840_component_176a,103.863856,2.571171,73.70600128173828,104.99430084228516,103.863532,2.571315,79.05,0.9323972331655697,0.9323972331655697
SB85840_component_177a,99.344032,3.201353,76.41899871826172,291.6755676269531,99.34378,3.201526,72.364,1.056036132859733,1.056036132859733
SB85840_component_178a,101.26668,7.060933,73.23100280761719,283.84112548828125,101.26643,7.061062,72.076,1.0160247906046007,1.0160247906046007
SB85840_component_181a,101.087277,5.493051,70.41000366210938,215.3211212158203,101.086902,5.493331,68.293,1.0309988382719952,1.0309988382719952
SB85840_component_186a,102.220726,2.722796,75.55599975585938,180.7559814453125,102.22038,2.722897,68.988,1.0952049596431173,1.0952049596431173
SB85840_component_187a,103.986466,2.78265,70.98699951171875,105.63541412353516,103.986218,2.782795,65.427,1.0849801994852086,1.0849801994852086
SB85840_component_190a,100.245066,1.931422,69.99400329589844,227.25326538085938,100.244832,1.931701,67.776,1.0327254971656403,1.0327254971656403
SB85840_component_191a,102.086079,6.678708,68.73600006103516,269.5529479980469,102.085832,6.678841,62.612,1.0978087277364588,1.0978087277364588
SB85840_component_192a,99.113319,3.353299,68.38700103759766,250.5018310546875,99.112917,3.353531,65.293,1.0473864125954948,1.0473864125954948
SB85840_component_193a,99.791992,1.490687,67.37999725341797,228.4067840576172,99.791708,1.490942,64.133,1.0506291184478813,1.0506291184478813
SB85840_component_195a,98.500108,5.178883,70.68900299072266,155.01974487304688,98.499623,5.179162,62.954,1.12286753805513,1.12286753805513
SB85840_component_196a,98.790243,8.42032,71.8030014038086,84.87351989746094,98.790032,8.420512,73.791,0.9730590641651231,0.9730590641651231
SB85840_component_200a,102.174647,7.972095,65.2509994506836,182.26535034179688,102.17452,7.972254,67.588,0.9654228480008819,0.9654228480008819
SB85840_component_201a,99.885781,3.348457,65.68499755859375,270.3086242675781,99.885538,3.348762,63.66,1.031809575221391,1.031809575221391
SB85840_component_202a,103.011192,3.158876,64.71199798583984,187.57101440429688,103.010951,3.159047,61.583,1.0508094439348497,1.0508094439348497
SB85840_component_203a,95.539606,5.709869,69.36799621582031,47.47980499267578,95.539241,5.710166,60.073,1.1547283507702348,1.1547283507702348
SB85840_component_205a,102.646605,8.024453,66.47699737548828,113.24871826171875,102.646497,8.024599,65.502,1.014885001610459,1.014885001610459
SB85840_component_207a,98.580975,2.727954,66.125,239.58334350585938,98.580549,2.72806,59.052,1.1197757908284225,1.1197757908284225
SB85840_component_208a,99.749618,0.703086,62.22999954223633,100.53311157226562,99.749383,0.703176,62.392,0.9974035059340353,0.9974035059340353
SB85840_component_210a,98.857859,5.237292,67.71299743652344,218.42901611328125,98.857431,5.237536,67.572,1.0020866251779352,1.0020866251779352
SB85840_component_213a,97.289351,3.804926,60.02399826049805,182.4437713623047,97.288917,3.805221,55.595,1.079665406250527,1.079665406250527
SB85840_component_219a,101.694606,1.341591,60.777000427246094,77.128173828125,101.694275,1.341854,54.402,1.1171831996479191,1.1171831996479191
SB85840_component_224a,100.013218,7.805058,62.553001403808594,225.01080322265625,100.013065,7.805239,62.779,0.9964000924482485,0.9964000924482485
SB85840_component_225a,102.673278,2.0614,63.52399826049805,109.33563232421875,102.672859,2.061516,57.758,1.0998302964177784,1.0998302964177784
SB85840_component_227a,101.984554,2.222753,58.39699935913086,152.47259521484375,101.984144,2.222876,53.042,1.1009577195266178,1.1009577195266178
SB85840_component_229a,101.652535,1.117272,58.034000396728516,67.48139190673828,101.652213,1.117473,59.055,0.9827110388066805,0.9827110388066805
SB85840_component_230a,99.639347,3.364121,58.816001892089844,226.21539306640625,99.639069,3.364357,57.107,1.0299263118722721,1.0299263118722721
SB85840_component_235a,100.593208,8.927261,58.584999084472656,107.49540710449219,100.592978,8.92739,59.526,0.9841917663621385,0.9841917663621385
SB85840_component_237a,104.482852,5.860377,63.16600036621094,51.02261734008789,104.482579,5.860617,63.837,0.9894888601627729,0.9894888601627729
SB85840_component_238a,103.552825,7.208159,57.06399917602539,72.97186279296875,103.552694,7.208336,62.206,0.9173391501788475,0.9173391501788475
SB85840_component_241a,98.975015,0.949152,54.452999114990234,116.6017074584961,98.974605,0.949262,54.661,0.9961947113113597,0.9961947113113597
SB85840_component_250a,103.874843,4.919995,50.90700149536133,128.87847900390625,103.874601,4.920162,57.755,0.8814302050967245,0.8814302050967245
SB85840_component_252a,98.659421,7.879541,54.87699890136719,120.34429931640625,98.65903,7.879777,52.539,1.044500255074653,1.044500255074653
SB85840_component_253a,100.521252,2.607749,51.6609992980957,189.2344207763672,100.520878,2.607938,48.109,1.073832324473502,1.073832324473502
SB85840_component_254a,101.549371,3.33789,49.1349983215332,143.250732421875,101.549011,3.338168,45.761,1.073730869551216,1.073730869551216
SB85840_component_257a,97.346543,6.980306,50.53200149536133,119.17925262451172,97.346187,6.980602,51.007,0.9906875820056331,0.9906875820056331
SB85840_component_259a,97.690283,7.52194,52.8849983215332,97.03668975830078,97.689732,7.522275,55.515,0.9526253863196109,0.9526253863196109
SB85840_component_260a,97.721215,7.767269,49.57099914550781,58.94292449951172,97.720862,7.767583,48.507,1.0219349608408645,1.0219349608408645
SB85840_component_261a,99.713849,7.05797,48.893001556396484,201.2057647705078,99.7136,7.058182,47.518,1.0289364358010962,1.0289364358010962
SB85840_component_262a,103.35619,4.035992,53.430999755859375,106.22464752197266,103.355992,4.036191,54.474,0.9808532466104817,0.9808532466104817
SB85840_component_263a,101.464977,4.268779,48.979000091552734,177.46014404296875,101.464681,4.269014,46.583,1.0514350748460326,1.0514350748460326
SB85840_component_264a,101.788492,7.948075,48.21099853515625,171.56939697265625,101.788313,7.948237,49.076,0.9823742467836876,0.9823742467836876
SB85840_component_269a,101.308397,9.423493,48.86899948120117,45.92951202392578,101.307878,9.42344,54.563,0.8956435584773779,0.8956435584773779
SB85840_component_272a,101.441277,4.749115,48.89400100708008,196.3614501953125,101.440986,4.749356,47.982,1.019007148661583,1.019007148661583
SB85840_component_273a,100.287218,6.28779,49.0629997253418,212.39393615722656,100.286962,6.287999,48.888,1.0035796049202625,1.0035796049202625
SB85840_component_277a,102.636647,5.483746,46.02899932861328,187.8734588623047,102.636396,5.484043,44.473,1.0349875054215656,1.0349875054215656
SB85840_component_279a,104.490122,3.834601,47.375,82.39130401611328,104.489827,3.834807,49.836,0.9506180271289831,0.9506180271289831
SB85840_component_281a,96.434704,6.352798,48.678001403808594,99.14053344726562,96.43429,6.353159,51.453,0.9460673119897497,0.9460673119897497
SB85840_component_282a,98.628936,3.625294,43.86600112915039,168.0689697265625,98.628557,3.625475,45.008,0.9746267581130108,0.9746267581130108
SB85840_component_284a,101.53165,2.023397,45.57099914550781,122.8328857421875,101.531341,2.023513,40.898,1.1142598451148664,1.1142598451148664
SB85840_component_287a,102.658894,3.968984,43.472999572753906,153.07394409179688,102.658622,3.969271,242.638,0.17916814172864062,0.17916814172864062
SB85840_component_290a,97.163951,4.785443,44.40299987792969,137.89752197265625,97.163511,4.785708,42.181,1.0526777430105898,1.0526777430105898
SB85840_component_291a,102.088508,5.655995,44.882999420166016,199.47999572753906,102.088189,5.656228,43.141,1.0403792081816836,1.0403792081816836
SB85840_component_297a,99.162771,8.024439,46.27799987792969,133.36599731445312,99.16245,8.024677,47.501,0.9742531710475504,0.9742531710475504
SB85840_component_298a,98.471063,8.45785,46.2140007019043,28.811721801757812,98.470786,8.457795,40.891,1.1301753613730234,1.1301753613730234
SB85840_component_299a,104.709116,5.035361,46.86800003051758,38.99168014526367,104.708658,5.035512,49.768,0.9417296260753412,0.9417296260753412
SB85840_component_304a,103.793335,6.485645,45.07600021362305,71.54920959472656,103.793178,6.485889,33.248,1.3557507282730705,1.3557507282730705
SB85840_component_309a,98.353122,2.81052,41.518001556396484,162.1796875,98.35269,2.810672,39.491,1.0513281901293074,1.0513281901293074
SB85840_component_310a,98.571579,8.370609,43.652000427246094,45.85293960571289,98.571127,8.371073,49.948,0.8739489154169555,0.8739489154169555
SB85840_component_311a,100.459724,8.002658,41.96799850463867,172.7078094482422,100.459532,8.002846,41.495,1.0113989276934252,1.0113989276934252
SB85840_component_312a,98.569802,0.786277,41.17300033569336,52.51658248901367,98.569215,0.786304,40.829,1.0084253921402277,1.0084253921402277
SB85840_component_313a,101.499315,2.719102,39.80500030517578,131.8046417236328,101.498921,2.719289,34.007,1.1704943189689119,1.1704943189689119
SB85840_component_315a,100.380692,5.653766,43.902000427246094,177.7408905029297,100.38034,5.654072,42.991,1.0211904916667696,1.0211904916667696
SB85840_component_317a,99.289055,1.62912,40.327999114990234,124.46913146972656,99.288643,1.62921,38.086,1.058866751955843,1.058866751955843
SB85840_component_319a,102.492211,3.105139,39.54800033569336,138.2797088623047,102.491883,3.105275,35.791,1.1049705326951849,1.1049705326951849
SB85840_component_323a,103.216186,7.960429,43.95800018310547,49.55805969238281,103.216181,7.960508,47.395,0.9274818057412273,0.9274818057412273
SB85840_component_324a,97.226157,7.17587,40.35300064086914,71.16931915283203,97.225714,7.176102,43.345,0.9309724452847882,0.9309724452847882
SB85840_component_325a,103.082549,3.44633,38.71500015258789,125.69805145263672,103.082317,3.446555,36.053,1.0738357460568577,1.0738357460568577
SB85840_component_326a,99.88703,3.044911,41.26499938964844,163.10276794433594,99.886727,3.04517,42.586,0.968980401766976,0.968980401766976
SB85840_component_328a,99.22562,0.209241,43.069000244140625,36.3758430480957,99.225194,0.209409,40.143,1.0728894264041209,1.0728894264041209
SB85840_component_329a,103.750191,5.867192,39.57699966430664,103.6047134399414,103.74992,5.867341,42.065,0.9408534331227063,0.9408534331227063
SB85840_component_330a,97.352752,6.123323,39.042999267578125,144.0701141357422,97.352462,6.123576,40.333,0.968016246437858,0.968016246437858
SB85840_component_331a,100.121163,8.893791,40.125999450683594,60.796966552734375,100.121029,8.893978,37.147,1.0801948865502893,1.0801948865502893
SB85840_component_335a,101.420951,1.397712,38.92499923706055,76.62400817871094,101.420777,1.39795,23.419,1.662111927796257,1.662111927796257
SB85840_component_338a,100.506459,8.493589,38.948001861572266,112.56648254394531,100.506293,8.493803,39.812,0.9782980473619076,0.9782980473619076
SB85840_component_339a,100.973877,5.348151,39.50600051879883,140.09219360351562,100.973507,5.34843,38.438,1.0277850179197363,1.0277850179197363
SB85840_component_342a,97.940329,5.398302,39.92599868774414,128.37942504882812,97.940046,5.398515,40.152,0.9943713560406491,0.9943713560406491
SB85840_component_343a,100.986784,5.477168,41.375,137.00331115722656,100.986461,5.477328,39.459,1.048556729770141,1.048556729770141
SB85840_component_345a,98.033862,4.240991,36.85599899291992,116.26498413085938,98.033359,4.241303,35.217,1.0465399946877907,1.0465399946877907
SB85840_component_347a,97.001209,2.380996,36.39799880981445,34.01681900024414,97.000625,2.381209,35.257,1.0323623339993322,1.0323623339993322
SB85840_component_348a,102.207961,5.346089,36.88800048828125,152.42974853515625,102.207621,5.346349,34.46,1.070458516781232,1.070458516781232
SB85840_component_350a,100.911156,5.368889,39.071998596191406,153.22352600097656,100.910817,5.369226,38.932,1.0035959775041459,1.0035959775041459
SB85840_component_354a,100.390729,7.398776,36.90299987792969,174.89573669433594,100.390568,7.398959,36.987,0.9977289284864868,0.9977289284864868
SB85840_component_357a,104.099378,6.717355,38.75299835205078,33.436580657958984,104.099092,6.717683,34.484,1.1237964955356332,1.1237964955356332
SB85840_component_358a,103.226388,5.017413,35.19599914550781,128.4525604248047,103.226168,5.017669,30.972,1.1363812199892744,1.1363812199892744
SB85840_component_363a,101.696028,3.374805,34.27899932861328,113.88372039794922,101.695756,3.37511,29.049,1.180040597907442,1.180040597907442
SB85840_component_367a,99.66963,4.47487,36.67399978637695,117.54486846923828,99.669279,4.475102,35.051,1.046303950996461,1.046303950996461
SB85840_component_368a,102.86275,1.49887,35.46699905395508,24.459999084472656,102.862242,1.499058,31.887,1.112271428919468,1.112271428919468
SB85840_component_369a,99.144938,6.409589,35.20899963378906,141.401611328125,99.144597,6.41001,32.045,1.098736140857827,1.098736140857827
SB85840_component_370a,101.020766,3.500324,35.45399856567383,129.8681182861328,101.020472,3.500574,33.548,1.0568140743315197,1.0568140743315197
SB85840_component_374a,98.306634,7.687163,35.685001373291016,72.09091186523438,98.305581,7.6873,34.086,1.0469107954377461,1.0469107954377461
SB85840_component_376a,96.622227,7.464333,37.86899948120117,24.79960823059082,96.621807,7.464662,42.127,0.8989246678187663,0.8989246678187663
SB85840_component_377a,98.616247,5.77747,34.74399948120117,114.28947448730469,98.615842,5.777784,34.717,1.0007777020249784,1.0007777020249784
SB85840_component_379a,102.3664,6.307976,35.073001861572266,149.88462829589844,102.366109,6.308169,34.882,1.0054756568308088,1.0054756568308088
SB85840_component_381a,97.616829,3.403111,37.112998962402344,113.84355163574219,97.616457,3.403416,35.158,1.0556060914273377,1.0556060914273377
SB85840_component_384a,97.566708,2.581272,33.00699996948242,75.35845184326172,97.566235,2.581541,28.875,1.1430995660426813,1.1430995660426813
