Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB85764_component_5a,165.476824,-63.423,975.7440185546875,1268.847900390625,165.47579166666665,-63.423111111111105,882.3,1.152370807961442,1.105909575603182
SB85764_component_17a,168.52171,-57.758718,559.2360229492188,1300.548828125,168.52158333333333,-57.75874999999999,545.8,1.0676631092196507,1.0246171178988985
SB85764_component_30a,172.930339,-58.314867,330.04998779296875,1057.8525390625,172.929625,-58.31474999999999,347.2,0.990541405632392,0.9506048035511773
SB85764_component_38a,167.218443,-59.57847,273.54901123046875,795.2005615234375,167.21783333333332,-59.57877777777777,269.5,1.0576671344888011,1.0150241604099026
SB85764_component_48a,165.539112,-58.06803,221.47300720214844,570.8067016601562,165.53883333333332,-58.06791666666666,229.8,1.004253624764859,0.9637641740737529
SB85764_component_51a,172.107199,-64.726883,189.9340057373047,415.61053466796875,172.10704166666665,-64.72744444444443,169.4,1.168320376870843,1.1212160905389887
SB85764_component_52a,173.01213,-65.407807,204.42999267578125,166.4739227294922,173.01049999999998,-65.40769444444443,245.6,0.8673390107011477,0.8323696770186533
SB85764_component_53a,170.156186,-60.062159,179.84100341796875,556.7832641601562,170.1557083333333,-60.0621111111111,173.4,1.0807176730459493,1.0371453484311923
SB85764_component_57a,166.977702,-57.501858,184.3939971923828,512.2055053710938,166.9775,-57.501999999999995,184.9,1.039160182065693,0.9972633704293283
SB85764_component_60a,167.425181,-56.323064,160.41200256347656,123.10974884033203,167.42454166666664,-56.32305555555555,201.9,0.8278910188065328,0.794512147416922
SB85764_component_61a,169.388255,-57.972188,165.8159942626953,538.3636474609375,169.387375,-57.97213888888888,141.5,1.2210757577328355,1.171844482421875
SB85764_component_62a,163.472763,-63.255097,163.3300018310547,379.83721923828125,163.4717083333333,-63.255222222222216,120.4,1.4135530424805887,1.3565614770021153
SB85764_component_64a,162.281758,-61.33169,161.88999938964844,422.6893005371094,162.28137499999997,-61.331333333333326,171.0,0.9864987532406132,0.946725142629523
SB85764_component_73a,173.077449,-60.672461,161.58599853515625,476.6548767089844,173.07729166666664,-60.67244444444444,163.7,1.0285553716061577,0.9870861242220907
SB85764_component_79a,169.099532,-59.475623,141.52099609375,534.04150390625,169.09866666666665,-59.47583333333333,133.6,1.1037915073028393,1.0592888929172906
SB85764_component_81a,167.591179,-59.806203,139.04400634765625,434.5125427246094,167.5905,-59.80633333333333,136.2,1.0637701385869192,1.0208811038741281
SB85764_component_85a,168.856771,-57.207277,127.60900115966797,336.69921875,168.8562083333333,-57.20716666666666,116.0,1.1462938167132697,1.1000775962040341
SB85764_component_86a,178.823282,-60.907286,133.0469970703125,71.8784408569336,178.8230833333333,-60.90738888888888,133.3,1.0400340476357894,0.9981020035282258
SB85764_component_90a,177.964462,-62.349209,126.98500061035156,100.46281433105469,177.96391666666665,-62.34944444444444,112.9,1.1720094491955366,1.1247564270181714
SB85764_component_91a,170.830934,-64.293421,124.37200164794922,388.6625061035156,170.83054166666665,-64.29374999999999,128.0,1.0124772742824781,0.9716562628746033
SB85764_component_95a,178.564277,-60.363625,120.7030029296875,109.63034057617188,178.56429166666663,-60.363833333333325,109.6,1.1475725475766743,1.101304771256273
SB85764_component_105a,161.798288,-62.407146,113.70600128173828,231.58045959472656,161.79754166666663,-62.40713888888888,118.3,1.0015468559282559,0.9611665366165535
SB85764_component_107a,165.758468,-58.256576,113.45500183105469,384.5932312011719,165.75816666666665,-58.256583333333325,117.6,1.0052844274774146,0.9647534169307372
SB85764_component_108a,167.490462,-61.525254,118.76100158691406,84.88992309570312,167.49124999999998,-61.52522222222221,95.3,1.2985347632103679,1.2461804993380279
SB85764_component_112a,169.828912,-57.092538,106.38800048828125,213.20240783691406,169.8279583333333,-57.09241666666666,109.8,1.009631602973473,0.9689253232083903
SB85764_component_115a,174.053111,-58.239637,109.08499908447266,326.601806640625,174.05249999999998,-58.23949999999999,108.3,1.0495646751673608,1.0072483756645676
SB85764_component_125a,169.30881,-58.870152,98.197998046875,404.10699462890625,169.3085833333333,-58.8703611111111,93.6,1.0931994761249422,1.0491239107572117
SB85764_component_129a,166.259871,-60.074136,97.77400207519531,295.3897399902344,166.25987499999997,-60.074055555555546,86.8,1.173751868285106,1.1264285953363515
SB85764_component_131a,163.768977,-60.149312,94.69400024414062,196.8690185546875,163.7685833333333,-60.14938888888888,90.6,1.089097836309209,1.0451876406638039
SB85764_component_136a,173.317051,-63.290733,91.35800170898438,230.1208953857422,173.31633333333332,-63.291055555555545,79.5,1.1974353986185151,1.1491572542010613
SB85764_component_139a,165.420207,-60.77931,92.1780014038086,73.39012908935547,165.41875,-60.77927777777777,45.7,2.1017628781986732,2.017024100739794
SB85764_component_146a,160.14077,-61.751521,91.41200256347656,66.24058532714844,160.13958333333332,-61.75144444444444,88.6,1.0750833376614932,1.0317381779173427
SB85764_component_148a,164.643072,-59.502381,89.61399841308594,279.17132568359375,164.6428333333333,-59.50236111111111,85.4,1.0934290656608554,1.04934424371295
SB85764_component_149a,173.30021,-58.623521,88.66999816894531,383.852783203125,173.30004166666666,-58.62355555555555,87.5,1.0559449466346003,1.0133714076450893
SB85764_component_155a,165.335335,-60.057276,85.00800323486328,193.6400909423828,165.33512499999998,-60.05713888888888,75.3,1.1763524696203174,1.1289243457485163
SB85764_component_156a,174.757042,-59.928181,79.85900115966797,269.7939147949219,174.75633333333332,-59.92824999999999,66.3,1.255113425834917,1.2045098214127898
SB85764_component_157a,176.575992,-62.088197,77.76300048828125,162.68411254882812,176.5749583333333,-62.08827777777777,72.9,1.1115221225996545,1.0667078256280007
SB85764_component_159a,176.519976,-62.734349,86.24800109863281,152.11288452148438,176.51937499999997,-62.734472222222216,79.3,1.1333093738526114,1.0876166595035663
SB85764_component_165a,168.480799,-56.527934,72.71199798583984,76.21802520751953,168.4800833333333,-56.52802777777777,82.2,0.9217367228398058,0.8845741847425771
SB85764_component_171a,167.531916,-56.494184,76.75700378417969,82.3572998046875,167.53124999999997,-56.49416666666666,92.2,0.8674805023737929,0.832505464036656
SB85764_component_173a,163.480913,-61.943297,74.90799713134766,297.25396728515625,163.48129166666664,-61.94302777777777,80.8,0.9660274208047108,0.927079172417669
SB85764_component_176a,169.40335,-58.416464,73.08300018310547,305.78662109375,169.40341666666666,-58.41669444444444,76.8,0.9915800426855501,0.9516015648841858
SB85764_component_177a,174.863324,-60.671137,72.01200103759766,163.66363525390625,174.8635833333333,-60.6708611111111,60.9,1.2321404523772432,1.1824630712249204
SB85764_component_178a,165.084731,-58.017984,77.15799713134766,196.83163452148438,165.08437499999997,-58.01772222222221,78.8,1.0202987577569234,0.9791624001440058
SB85764_component_183a,164.325787,-63.356793,74.18699645996094,220.1394500732422,164.32429166666665,-63.35697222222221,81.0,0.9543669679799194,0.9158888451847029
SB85764_component_191a,177.456593,-61.701474,72.60199737548828,105.52615356445312,177.45674999999997,-61.702055555555546,70.7,1.070044366129888,1.0269023674043605
SB85764_component_192a,172.978365,-60.002091,68.74600219726562,306.90179443359375,172.97841666666665,-60.001999999999995,70.3,1.0189778702289836,0.9778947680976618
SB85764_component_194a,167.708734,-59.259663,73.16699981689453,283.5930480957031,167.70825,-59.25974999999999,74.7,1.0206275219058794,0.9794779091953753
SB85764_component_195a,172.984929,-59.605455,66.73799896240234,314.8018798828125,172.98529166666665,-59.605305555555546,54.3,1.2806957872454687,1.2290607543720506
SB85764_component_196a,164.504435,-59.319872,70.10700225830078,204.99122619628906,164.5042083333333,-59.32002777777777,74.5,0.9805680855897636,0.9410335873597421
SB85764_component_200a,177.85233,-62.089109,68.85199737548828,69.33736419677734,177.8517083333333,-62.08955555555555,61.7,1.1627972852783612,1.1159156786951099
SB85764_component_204a,169.616169,-60.229527,64.37999725341797,213.17880249023438,169.61654166666665,-60.22963888888888,96.0,0.6987991217076185,0.6706249713897705
