Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB85885_component_6a,285.930467,5.882475,865.197021484375,976.5203857421875,285.9306,5.88247,2684.1,1.336527828200992,0.3223415750100127
SB85885_component_12a,283.919024,5.704571,570.5560302734375,350.03436279296875,283.91861,5.70467,4282.6,0.5523984729094767,0.13322655169136446
SB85885_component_16a,288.219067,4.517792,506.0220031738281,626.2648315429688,288.21875,4.51732,2492.2,0.8418761222089188,0.20304229322439138
SB85885_component_17a,283.99124,10.336561,489.0169982910156,587.0552368164062,283.99142,10.33677,2014.9,1.0063108164646895,0.24270038130478713
SB85885_component_37a,286.279241,8.499583,336.406005859375,791.5435180664062,286.27966,8.49965,1627.3,0.8571519122452111,0.20672648304515148
SB85885_component_41a,285.132198,5.832521,315.8949890136719,520.4201049804688,285.13226,5.83219,1091.4,1.2001083833350519,0.2894401585245298
SB85885_component_45a,289.793287,11.440918,268.9930114746094,195.2053680419922,289.79343,11.44067,913.0,1.2216080942280492,0.29462542330187225
SB85885_component_46a,286.607839,4.821917,279.39599609375,307.704833984375,286.60797,4.82144,846.3,1.3688552292893243,0.33013824423224625
SB85885_component_55a,285.769028,9.195415,256.7690124511719,844.6349487304688,285.76898,9.19552,774.6,1.3744432104187818,0.33148594429534195
SB85885_component_61a,283.938932,6.803093,203.02699279785156,467.80413818359375,283.93906,6.80299,460.7,1.8272469761451233,0.44069240893824957
SB85885_component_63a,285.631903,8.102165,220.35299682617188,669.7659301757812,285.63168,8.10209,834.7,1.0945868590929306,0.2639906515229087
SB85885_component_68a,289.590531,5.356646,206.42300415039062,233.246337890625,289.59085,5.35686,823.5,1.0393364844214816,0.25066545737752355
SB85885_component_70a,284.132762,6.171387,196.427001953125,299.8885803222656,284.13242,6.17024,381.8,2.1331772638853383,0.5144761706472629
SB85885_component_72a,285.146946,9.504921,198.99000549316406,650.2941284179688,285.14697,9.50469,887.4,0.9297657025367964,0.22423935710295703
SB85885_component_74a,290.561284,7.617614,194.28900146484375,406.4623718261719,290.56171,7.61812,575.8,1.3990661137934948,0.33742445547906175
SB85885_component_77a,290.641107,7.179733,189.9720001220703,336.233642578125,290.64139,7.18012,762.3,1.0332974499142884,0.2492089730054707
