Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB87079_component_13a,67.93216,-48.885302,639.2789916992188,515.1321411132812,67.93149999999999,-48.88544444444444,731.8,0.9102708957934296,0.8735706363749915
SB87079_component_14a,68.281949,-50.335945,527.7839965820312,790.0958251953125,68.28195833333332,-50.33630555555555,565.1,0.9732032259061545,0.9339656637445253
SB87079_component_17a,67.704952,-49.937303,487.60101318359375,395.7800598144531,67.70479166666665,-49.93772222222221,511.4,0.9935197512896742,0.9534630684074966
SB87079_component_22a,79.158787,-50.352477,385.45001220703125,758.7598266601562,79.15854166666665,-50.352777777777774,384.1,1.04567418436854,1.0035147414918804
SB87079_component_29a,77.666103,-47.810669,311.3630065917969,929.4417724609375,77.66504166666665,-47.810916666666664,309.8,1.0472689523818988,1.005045211723037
SB87079_component_33a,79.628669,-48.131975,299.6419982910156,276.9334411621094,79.62758333333332,-48.13230555555555,351.5,0.8882802068216274,0.8524665669730174
SB87079_component_37a,70.492841,-51.915071,263.6759948730469,753.3599853515625,70.49295833333332,-51.914805555555546,305.5,0.8993567704524997,0.863096546229286
SB87079_component_38a,75.254844,-48.515563,270.5950012207031,1288.547607421875,75.25379166666666,-48.51638888888888,278.5,1.0124351149352189,0.9716158033059358
SB87079_component_41a,78.340375,-47.635997,252.89100646972656,554.5855102539062,78.33945833333333,-47.63627777777777,258.5,1.0194019666722274,0.9783017658403349
SB87079_component_42a,74.641836,-52.742996,261.39599609375,1093.7071533203125,74.64104166666665,-52.74294444444444,246.3,1.1058778229051203,1.061291092544661
SB87079_component_46a,78.164732,-49.306831,239.1840057373047,707.6449584960938,78.16387499999999,-49.30713888888888,277.2,0.8991073308848787,0.8628571635544903
SB87079_component_47a,77.516624,-47.946881,235.26100158691406,693.9852905273438,77.51583333333332,-47.94736111111111,256.3,0.956475753314407,0.9179126086106674
SB87079_component_49a,78.129344,-48.389453,238.5449981689453,301.9556884765625,78.12891666666665,-48.390388888888886,242.9,1.0233293483164465,0.9820708034950404
SB87079_component_50a,78.252383,-48.66023,236.3719940185547,557.4811401367188,78.25183333333332,-48.66044444444444,248.2,0.9923545639739034,0.9523448590594468
SB87079_component_51a,76.947809,-51.935248,237.68699645996094,921.2674560546875,76.94783333333332,-51.934972222222214,249.3,0.9934723257763761,0.9534175549938264
SB87079_component_52a,79.111353,-50.071168,225.26199340820312,445.18182373046875,79.11095833333333,-50.07149999999999,224.5,1.0455485578651664,1.003394179991996
SB87079_component_54a,76.375388,-48.177547,227.2830047607422,808.8363647460938,76.37449999999998,-48.17811111111111,235.5,1.0056542203069319,0.9651083004702429
SB87079_component_58a,77.08994,-47.558632,211.2519989013672,690.3660278320312,77.08883333333333,-47.558944444444435,212.0,1.038335244784612,0.9964716929309773
SB87079_component_65a,78.897295,-49.285725,202.5679931640625,396.4148864746094,78.89658333333333,-49.2858611111111,222.3,0.9495197282875069,0.9112370362755847
SB87079_component_67a,74.758918,-52.821891,180.76400756835938,756.3347778320312,74.75820833333333,-52.821749999999994,171.8,1.0963808248312394,1.052176993995107
SB87079_component_68a,78.725207,-48.072522,182.29100036621094,373.547119140625,78.72441666666666,-48.07299999999999,201.7,0.9417420435938989,0.9037729319098212
SB87079_component_72a,77.790615,-47.552712,177.76600646972656,553.7881469726562,77.78958333333333,-47.552972222222216,181.1,1.022828676078502,0.9815903173369772
SB87079_component_73a,73.207033,-49.769251,165.06700134277344,837.903564453125,73.20620833333332,-49.76933333333333,156.8,1.0969500017331741,1.0527232228493204
SB87079_component_74a,74.844522,-50.547709,165.40499877929688,908.8186645507812,74.84412499999999,-50.547999999999995,171.8,1.0032244329628277,0.9627764771786779
SB87079_component_75a,69.486849,-52.845851,169.97900390625,406.6483154296875,69.48654166666665,-52.84602777777777,178.5,0.9922696068218548,0.9522633272058824
SB87079_component_79a,75.878608,-52.748421,173.6840057373047,742.2393188476562,75.87804166666666,-52.74833333333333,163.5,1.1069160879460875,1.0622874968642488
SB87079_component_80a,71.220835,-49.029598,153.1529998779297,702.5367431640625,71.21970833333333,-49.02936111111111,147.0,1.0856274174883724,1.0418571420267326
SB87079_component_83a,73.284801,-52.739589,152.47900390625,654.4163208007812,73.28429166666666,-52.739638888888884,148.7,1.0684930640690171,1.0254136106674514
SB87079_component_86a,72.247172,-48.705828,148.677001953125,754.7056274414062,72.24641666666666,-48.70580555555555,136.5,1.1349684087582024,1.0892088055173992
SB87079_component_87a,76.427891,-52.232727,146.68699645996094,596.28857421875,76.42774999999999,-52.23241666666666,151.1,1.011578945233169,0.9707941526139043
SB87079_component_89a,77.475599,-51.459363,143.8260040283203,561.8203125,77.47595833333332,-51.45924999999999,136.3,1.0995479882745978,1.0552164638908312
SB87079_component_90a,70.676942,-46.312905,140.4459991455078,191.34332275390625,70.67633333333332,-46.31302777777777,165.3,0.8853380876565671,0.8496430680309002
SB87079_component_91a,78.746336,-51.500834,146.41799926757812,433.1893615722656,78.74604166666666,-51.500583333333324,142.3,1.0721664116715204,1.0289388564130577
SB87079_component_93a,77.682222,-50.048204,133.14700317382812,522.1451416015625,77.68145833333332,-50.04863888888888,136.8,1.0141867404094893,0.9732968068262289
SB87079_component_94a,67.667222,-51.270483,140.47300720214844,178.4917449951172,67.66608333333332,-51.27016666666666,170.0,0.8610266388403983,0.8263118070714613
SB87079_component_95a,72.378262,-48.398525,131.697998046875,633.1634521484375,72.37733333333333,-48.39858333333333,128.1,1.0712792011950645,1.0280874164471117
SB87079_component_99a,75.838349,-53.473878,144.20799255371094,390.8075866699219,75.837875,-53.473861111111106,145.5,1.0327589508315917,0.9911202237368449
SB87079_component_102a,70.098168,-48.067472,129.85699462890625,519.427978515625,70.09854166666666,-48.06769444444444,135.3,1.0000925234314035,0.9597708398293144
SB87079_component_103a,72.414824,-48.161246,127.35900115966797,699.7747192382812,72.41404166666666,-48.161361111111106,99.9,1.328424222153741,1.2748648764731527
SB87079_component_104a,70.157097,-49.728402,137.30799865722656,635.6851806640625,70.15612499999999,-49.728361111111106,125.3,1.1418719266393353,1.0958339876873628
SB87079_component_106a,72.732069,-48.13798,127.28900146484375,611.9663696289062,72.73133333333332,-48.13808333333333,120.3,1.10254895499911,1.0580964377792499
