Component_ID,RA,DEC,RA_comp,DEC_comp
SB88188_component_2a,20.616332,-4.357493,20.616189,-4.357549
SB88188_component_8a,17.708635,-7.695033,17.708421,-7.694754
SB88188_component_10a,25.357376,-9.478624,25.357634,-9.478798
SB88188_component_19a,23.171248,-8.068011,23.171359,-8.06801
SB88188_component_25a,24.715933,-5.668864,24.716047,-5.668956
SB88188_component_67a,20.899113,-3.811087,20.899061,-3.810921
SB88188_component_84a,17.628482,-4.258178,17.628762,-4.258619
SB88188_component_113a,21.817852,-8.358113,21.817963,-8.358027
SB88188_component_164a,25.407648,-9.500524,25.408082,-9.500496
SB88188_component_295a,20.943401,-9.38435,20.943269,-9.38426
