Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB88032_component_3a,208.127914,2.546439,1506.0550537109375,1649.5673828125,208.127625,2.546325,1511.956,0.9960971441701595,0.9960971441701595
SB88032_component_8a,205.055417,-3.589155,982.4660034179688,563.3406372070312,205.055371,-3.588941,973.7,1.0090027764382958,1.0090027764382958
SB88032_component_9a,208.097952,-1.946703,827.9000244140625,1632.9388427734375,208.09771,-1.946864,800.427,1.0343229606373379,1.0343229606373379
SB88032_component_11a,208.781566,0.678675,764.4920043945312,1259.459716796875,208.78132,0.678574,762.91,1.0020736448526448,1.0020736448526448
SB88032_component_12a,208.528765,-2.100873,671.31298828125,1337.2769775390625,208.528502,-2.100976,724.269,0.9268835036170953,0.9268835036170953
SB88032_component_13a,210.603638,3.707574,649.14501953125,361.2381896972656,210.603363,3.707568,704.692,0.9211755199878102,0.9211755199878102
SB88032_component_16a,209.070901,-0.804557,516.7080078125,1366.952392578125,209.070581,-0.80467,491.296,1.051724434582207,1.051724434582207
SB88032_component_17a,211.191293,-1.506075,504.5899963378906,864.0239868164062,211.191077,-1.506088,462.968,1.0899025339502744,1.0899025339502744
SB88032_component_18a,210.088635,0.505726,498.4209899902344,1021.3544921875,210.088257,0.505519,483.652,1.030536398051149,1.030536398051149
SB88032_component_19a,206.3201,-1.940432,515.5330200195312,1248.2640380859375,206.320025,-1.940036,506.098,1.0186426739871157,1.0186426739871157
SB88032_component_20a,207.991056,-2.166142,491.093994140625,1265.7061767578125,207.990971,-2.165854,477.663,1.0281181379772455,1.0281181379772455
SB88032_component_23a,208.464683,1.864841,465.260986328125,1064.67041015625,208.464234,1.864743,384.53,1.20994717272547,1.20994717272547
SB88032_component_25a,211.050615,-0.223613,414.0769958496094,936.8258056640625,211.050132,-0.223603,377.783,1.096071013914362,1.096071013914362
SB88032_component_26a,207.768506,0.522056,394.7829895019531,1009.6751708984375,207.768252,0.521904,419.534,0.9410035646740267,0.9410035646740267
SB88032_component_31a,209.356252,-0.579156,367.2040100097656,981.828857421875,209.35595,-0.579208,356.553,1.029872164894884,1.029872164894884
SB88032_component_32a,207.375032,1.577316,369.92498779296875,1010.7239990234375,207.374754,1.577333,354.814,1.0425884767595661,1.0425884767595661
SB88032_component_33a,204.886074,-3.28509,354.92401123046875,415.6018981933594,204.886049,-3.28499,345.363,1.0276839477027613,1.0276839477027613
SB88032_component_35a,206.848366,2.662769,341.8630065917969,990.9072875976562,206.84808,2.662599,339.776,1.0061423013744257,1.0061423013744257
SB88032_component_36a,209.343672,2.482593,335.3599853515625,669.3812255859375,209.34338,2.48252,328.912,1.0196039832890333,1.0196039832890333
SB88032_component_37a,210.093889,0.806631,316.4930114746094,682.0970458984375,210.093529,0.806441,310.427,1.0195408629874636,1.0195408629874636
SB88032_component_39a,208.190326,-1.841618,289.75,639.6246948242188,208.190047,-1.841921,281.513,1.0292597499937837,1.0292597499937837
SB88032_component_41a,205.571185,1.287948,264.7969970703125,645.8463134765625,205.5711,1.287949,263.118,1.0063811562504752,1.0063811562504752
SB88032_component_42a,205.074147,-2.058481,265.8139953613281,708.8373413085938,205.074123,-2.058483,261.41,1.0168470806829428,1.0168470806829428
SB88032_component_43a,205.019198,-1.629593,257.4309997558594,675.671875,205.019276,-1.629389,125.864,2.045310809730021,2.045310809730021
SB88032_component_44a,204.74705,-2.817182,259.73199462890625,428.60064697265625,204.747087,-2.817227,260.572,0.9967763022462361,0.9967763022462361
SB88032_component_45a,209.798336,-0.882073,248.718994140625,674.0352172851562,209.798066,-0.882092,245.973,1.0111638031028811,1.0111638031028811
SB88032_component_52a,211.877205,2.602328,211.3000030517578,103.78192901611328,211.87699,2.60263,228.457,0.9249005416851216,0.9249005416851216
SB88032_component_53a,207.930505,2.772339,224.34300231933594,496.3340759277344,207.930239,2.772225,226.894,0.9887568746610133,0.9887568746610133
SB88032_component_54a,206.723568,-3.603708,208.4250030517578,263.1628723144531,206.723608,-3.60345,204.257,1.0204056803524864,1.0204056803524864
SB88032_component_57a,209.018676,-3.925652,217.44500732421875,200.96580505371094,209.018405,-3.925517,201.416,1.0795815989008755,1.0795815989008755
SB88032_component_58a,205.841797,1.431952,213.27099609375,494.82830810546875,205.841605,1.431951,205.486,1.0378857736962617,1.0378857736962617
SB88032_component_61a,206.583614,-0.56347,199.5290069580078,602.806640625,206.583426,-0.563564,185.999,1.0727423639804936,1.0727423639804936
SB88032_component_63a,210.899664,-3.83161,196.01800537109375,117.0955810546875,210.899555,-3.831474,200.905,0.9756750970413566,0.9756750970413566
SB88032_component_65a,211.03823,2.506215,196.72000122070312,313.7480163574219,211.037908,2.506243,194.339,1.012251793107421,1.012251793107421
SB88032_component_66a,207.721618,-1.477671,200.1219940185547,502.819091796875,207.721376,-1.477969,194.72,1.0277423686244591,1.0277423686244591
SB88032_component_69a,210.019196,0.888541,184.9499969482422,434.1549377441406,210.018866,0.888388,178.621,1.0354325468351548,1.0354325468351548
SB88032_component_70a,204.620292,-2.898379,206.34800720214844,286.19696044921875,204.620372,-2.898459,209.015,0.9872401846860199,0.9872401846860199
SB88032_component_71a,204.143369,2.126703,196.16400146484375,185.23512268066406,204.143654,2.126353,222.342,0.8822624671220181,0.8822624671220181
SB88032_component_73a,207.660497,0.617955,200.5279998779297,595.03857421875,207.660256,0.617822,190.809,1.0509357518666818,1.0509357518666818
SB88032_component_74a,208.818133,-1.247507,179.4029998779297,553.7129516601562,208.81779,-1.247814,157.05,1.14233046722655,1.14233046722655
SB88032_component_75a,211.139883,2.664247,171.6699981689453,280.96563720703125,211.139605,2.664243,170.427,1.0072934345435014,1.0072934345435014
SB88032_component_78a,205.71069,-0.269566,165.19200134277344,497.5662841796875,205.710652,-0.269453,157.421,1.0493644516473244,1.0493644516473244
SB88032_component_82a,208.672951,2.088578,162.7209930419922,414.0483093261719,208.672617,2.088512,164.207,0.9909504043188914,0.9909504043188914
SB88032_component_84a,210.562387,3.298909,159.45599365234375,218.432861328125,210.562109,3.298855,165.387,0.9641386182247924,0.9641386182247924
SB88032_component_85a,210.32919,-3.263128,167.74000549316406,241.35252380371094,210.329086,-3.262867,168.988,0.9926148927329992,0.9926148927329992
SB88032_component_86a,207.651949,-3.345088,160.72799682617188,376.41217041015625,207.651795,-3.345032,146.243,1.0990474540741908,1.0990474540741908
SB88032_component_87a,206.578024,-1.630857,157.0469970703125,528.7777709960938,206.577885,-1.63082,154.285,1.017901915742376,1.017901915742376
SB88032_component_88a,209.343317,-2.833603,145.25900268554688,448.33026123046875,209.34315,-2.833245,128.18,1.1332423364452089,1.1332423364452089
SB88032_component_89a,204.380643,0.591229,149.67300415039062,239.86058044433594,204.381096,0.590995,169.148,0.8848641671813479,0.8848641671813479
SB88032_component_96a,206.653443,-0.789034,133.2779998779297,396.66070556640625,206.653207,-0.789281,130.569,1.020747649732553,1.020747649732553
SB88032_component_97a,203.828612,-0.483628,150.08999633789062,116.43909454345703,203.828942,-0.483866,151.187,0.9927440609172126,0.9927440609172126
SB88032_component_100a,206.029027,-3.868574,135.65199279785156,104.42801666259766,206.029061,-3.868295,134.086,1.0116790179276849,1.0116790179276849
SB88032_component_101a,208.794522,-2.64962,128.3979949951172,406.32275390625,208.794268,-2.649269,119.06,1.0784310011348663,1.0784310011348663
SB88032_component_103a,204.610512,-0.096249,124.52400207519531,264.9446716308594,204.610802,-0.096393,139.041,0.8955919626239406,0.8955919626239406
SB88032_component_105a,206.039824,-0.545003,122.94300079345703,403.091796875,206.039714,-0.545129,116.461,1.055658124122728,1.055658124122728
SB88032_component_109a,208.091482,2.502082,128.50599670410156,212.40660095214844,208.091174,2.501943,126.51,1.0157773828480086,1.0157773828480086
SB88032_component_110a,208.878473,0.878389,134.74899291992188,304.8619689941406,208.878151,0.878194,133.435,1.0098474382277653,1.0098474382277653
SB88032_component_112a,207.044712,0.750107,122.45999908447266,385.0943603515625,207.044528,0.749971,119.658,1.0234167300512516,1.0234167300512516
SB88032_component_113a,210.192217,0.316843,119.76599884033203,316.0052795410156,210.191862,0.316672,116.403,1.0288909980011858,1.0288909980011858
